,time_start,time_peak,time_end,nar,xray_class,is_coincident
1356,2014-11-14 14:47:00,2014-11-14 15:08:00,2014-11-14 15:34:00,12205,C,False
1357,2014-11-17 08:52:00,2014-11-17 09:07:00,2014-11-17 09:22:00,12205,C,False
1367,2014-04-17 17:52:00,2014-04-17 18:11:00,2014-04-17 18:33:00,12035,C,False
1368,2014-04-20 14:18:00,2014-04-20 14:46:00,2014-04-20 15:01:00,12035,C,False
1369,2014-04-22 11:29:00,2014-04-22 11:37:00,2014-04-22 11:41:00,12035,C,False
1370,2014-04-25 11:55:00,2014-04-25 12:08:00,2014-04-25 12:38:00,12035,C,False
1376,2014-01-08 16:48:00,2014-01-08 16:54:00,2014-01-08 17:04:00,11944,C,False
1377,2014-01-10 07:06:00,2014-01-10 07:27:00,2014-01-10 08:26:00,11944,C,False
1378,2014-01-12 01:58:00,2014-01-12 02:06:00,2014-01-12 02:18:00,11944,C,False
1379,2014-01-14 15:57:00,2014-01-14 16:04:00,2014-01-14 16:06:00,11944,C,False
1390,2014-02-16 06:42:00,2014-02-16 06:46:00,2014-02-16 06:51:00,11974,C,False
1395,2014-06-14 09:11:00,2014-06-14 09:46:00,2014-06-14 10:16:00,12087,C,False
1396,2014-06-18 16:20:00,2014-06-18 16:25:00,2014-06-18 16:28:00,12087,C,False
1397,2014-06-20 18:23:00,2014-06-20 18:33:00,2014-06-20 18:46:00,12087,C,False
1401,2014-08-25 05:40:00,2014-08-25 05:48:00,2014-08-25 06:00:00,12149,C,False
1402,2014-08-27 03:37:00,2014-08-27 03:58:00,2014-08-27 04:12:00,12149,C,False
1403,2014-09-01 10:20:00,2014-09-01 10:26:00,2014-09-01 10:36:00,12149,C,False
1404,2014-09-04 02:24:00,2014-09-04 02:28:00,2014-09-04 02:31:00,12149,C,False
1427,2014-11-19 18:57:00,2014-11-19 19:03:00,2014-11-19 19:07:00,12209,C,False
1428,2014-11-23 15:37:00,2014-11-23 16:14:00,2014-11-23 16:23:00,12209,C,False
1429,2014-11-27 01:41:00,2014-11-27 02:01:00,2014-11-27 02:22:00,12209,C,False
1445,2014-01-02 23:37:00,2014-01-02 23:43:00,2014-01-02 23:51:00,11936,C,False
1453,2014-03-12 02:30:00,2014-03-12 02:51:00,2014-03-12 03:28:00,12002,C,False
