,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,176.15739650090023,680.0254053159424,42.60514735773294,50.30034125370911,93.9200732235971,99.58600850480883,0.011783110234243875,0.00014622418397163383,7315.642571108153,35.28492888060763,4.0152861237884006,7603191467946.661,28.076943487343033,3.191874348069168e+23,1248.3516897142508,23874132167220.945,1.8771323390410594e+22,210.69490842306382,11177.94612689529,21.034682713007502
C,304.324203443366,1076.3807803915383,43.51385466943064,51.84757432234153,94.22190988618873,101.03483998678045,0.030868115625110992,0.0003728983672482831,8270.304394597644,36.385938178852335,4.26099484297916,12388309434583.355,29.985482094735307,5.338401747583407e+23,2067.4075195525515,38384477425467.74,2.774881487255866e+22,257.5966730283783,34653.64779455077,21.23958676120097
M,338.08147308172397,1153.7639139161681,43.71845497547384,52.08433923712926,93.98726236768817,101.13624488044162,0.031076445985715066,0.00014969678033459032,8542.878134753673,36.622018983629054,4.309625337556186,13480299939177.174,30.435730514122117,5.909108171587686e+23,2257.532705817573,41430707171679.086,2.990850275879446e+22,261.5802973069831,41826.02969295521,20.89846080777459
X,343.1103335568034,1163.5704335791663,43.74246761904871,52.08103137432723,93.92069472443762,101.11724895061525,0.03163634519267177,0.0001429740138831372,8574.544185588788,36.65391992641991,4.31454627874651,13637867946795.084,30.500259745867215,5.987464782038431e+23,2278.1615158427812,41765214697662.18,3.0138257691208634e+22,261.4841913148749,42991.49577523399,20.824275048985264
