,precision,recall,f1-score,support
ABC,0.6666666666666666,0.39285714285714285,0.49438202247191004,56.0
MX,0.22727272727272727,0.47619047619047616,0.30769230769230765,21.0
accuracy,0.4155844155844156,0.4155844155844156,0.4155844155844156,0.4155844155844156
macro avg,0.44696969696969696,0.43452380952380953,0.40103716508210885,77.0
weighted avg,0.5468319559228649,0.4155844155844156,0.44346664571383665,77.0

TSS,-0.10606060606060608
ORSS,-748
SEDI,-0.16359686875509102
