,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX
B,2.9427719108239323,7.053127615002147,0.15846400445626,0.26359974733285746,0.5363020738439812,0.32819048975629145,0.00736860120807828,6.432129483154848e-05,19.525114908254096,0.0863144247498711,0.026432403480338665,186011488707.78357,0.12033972140167748,1.3028993622416737e+21,14.176829688884112,273491390655.6981,1.814925048741393e+20
C,1.7043914132236209,10.245846804663612,0.09240184839049254,0.18626240302919725,0.5368294651632367,0.28400902615722273,0.006086250769508428,6.377607597045937e-05,20.169595920426552,0.05438973380274641,0.02562534364661258,83765500415.88187,0.0678901821879287,2.7805403305138806e+21,20.899472758906448,367786810134.90704,3.352016864684673e+20
M,1.3860787907409247,7.048380209178889,0.10765058844649368,0.2202865071591096,0.5515380245913291,0.2862413149214675,0.005637036278825548,5.477843425499176e-05,18.38774459622687,0.06223423706995704,0.023526586690502855,78030299167.08928,0.07599606422065476,1.3905996210581012e+21,14.901312117166803,232258697287.81738,2.226102061956484e+20
X,1.3190310488968022,6.50157448521526,0.11034378484365956,0.2233722539362399,0.5521156252016405,0.28835198304245185,0.005767606482962946,5.4206701717526394e-05,18.99391000384734,0.06493457993671542,0.02307846729090767,73389581827.88023,0.08137308827762757,1.0817021138217634e+21,13.79247121218729,209024382096.02713,2.1208596011699457e+20
