,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX
B,6.384332301409984,18.517979251258907,0.5613973109731063,0.7575149007961457,1.6242139032689522,1.0278252681205657,0.0266114234496684,0.0001353294036692637,46.644025391167816,0.37049211924762204,0.07757499211743824,539869821111.17285,0.4616130815406798,5.209380142153948e+21,39.553456792263205,709015762130.2148,4.7567806364168015e+20
C,1.239032392804802,31.981166361220858,0.33638992122713063,0.6196665552080773,1.7769948333928482,1.1410327701881329,0.018252033354878704,0.0001136122670167,23.286699045291243,0.2306403073648582,0.0753475492491944,155228432470.86133,0.21366813696342035,8.09752912902793e+21,64.32368365552156,1111419902038.0078,1.0999726937883479e+21
M,0.8817453904173362,20.30885763593551,0.41571887922696504,0.7438748143796445,1.8156254202189928,1.0960350211953767,0.0165274782930078,0.00011141024235131993,2.23982711771896,0.29433852703810715,0.06992648646433519,85944521887.70508,0.32231181951177135,1.088057293081636e+21,41.648926312857384,614257923568.7344,6.834745661652803e+20
X,0.5972760660688436,17.9228772681804,0.4323531050986915,0.7577118709669151,1.8207835501808063,1.117457745349995,0.0166504768384664,0.00010999040463237097,6.304984159933156,0.3126919472137857,0.06860692910146504,68714895138.4707,0.3562102228888442,5.4282019599423006e+20,38.303353355722265,542660713929.6875,6.501372396557084e+20
