,precision,recall,f1-score,support
ABC,0.8588807785888077,0.3807982740021575,0.5276532137518685,927.0
MX,0.24074074074074073,0.7583333333333333,0.3654618473895582,240.0
accuracy,0.45844044558697516,0.45844044558697516,0.45844044558697516,0.45844044558697516
macro avg,0.5498107596647742,0.5695658036677453,0.44655753057071335,1167.0
weighted avg,0.7317568633501308,0.45844044558697516,0.4942976628290283,1167.0

TSS,0.09962151932954844
HSS1,0.7177615571776156
HSS2,1.5447070025101706
GS,-0.5809835612016694
ORSS,-66584
SEDI,0.17255913473090354
