,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,297.4157405578162,1030.2036983743083,43.39046593263019,51.49669749583367,93.70621606086245,100.54774934829763,0.024324946669770624,0.00013639464728723168,8213.88360637856,36.24918735271819,4.23692298503254,12015282659988.98,29.7904339123855,5.216854064083442e+23,1999.1923246032322,36918361374278.32,2.7095673031985975e+22,247.41412177366493,34819.04036151096,20.859933690180444
C,325.6997591591761,1125.43125495636,43.603109151540636,51.88590721251244,93.83595732440807,100.93806820585915,0.02960219320048394,0.00024211785308915002,8426.528510512002,36.50770276715323,4.295910978021591,13100606376094.32,30.233379440931834,5.702642790079576e+23,2190.2622649441214,40369091526258.59,2.9190047624027286e+22,259.0396975815402,39175.78596467235,20.966896300088493
M,341.36223847267115,1160.2257675320436,43.693042111087514,51.99104051771167,93.73445747274697,100.99890410094359,0.029849239712012057,0.0001308546074838658,8550.747561419055,36.61291326666313,4.31780938243887,13608064710520.945,30.432581357397957,5.9597093710765904e+23,2276.143971404982,41737482904807.87,3.015457238737258e+22,260.6916337820473,42431.39357954993,20.78401502039467
X,343.8444821142211,1164.8492427180415,43.70337861739995,51.9864277625019,93.69863364308449,100.9878437357811,0.03028667384634117,0.0001313568102712966,8565.770780377583,36.62772765543924,4.320227996922966,13684975234896.201,30.461751637745515,5.9964812217097755e+23,2285.8980044085274,41892867903464.336,3.0262774387293563e+22,260.6583454850495,42988.388723732736,20.749987592456822
