,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX
B,10.29873820331568,25.64965391742021,0.4631076160668357,0.609140639880323,1.5110521470226672,0.8241493633522197,0.0260604833698371,0.00013994290397103518,12.845594352608714,0.2702665289998549,0.0962529692234595,679821422981.7031,0.2776545138521236,1.5631007458491042e+21,55.27182580991098,983925296487.8945,6.509395922051148e+20
C,4.214365036006598,39.29615095546637,0.26155530266740357,0.5437931345190705,1.7677662100766867,1.042399220138421,0.0169229390004333,0.0001171202181197,74.84687916051917,0.14755712865553505,0.08604551255215398,250782909013.5664,0.08091611318542391,1.3248976962195756e+22,80.23238229130084,1379802234244.7812,1.2834584346296173e+21
M,3.944762386756736,28.865417436895086,0.33500875135315056,0.6486364089376409,1.7773071153615945,0.9791937672918323,0.015619652636913298,0.00010734872375328577,61.27007960425908,0.20297162483495867,0.08010287918891912,179078158146.58008,0.1833958793460262,6.427610723472401e+21,58.86610189241628,904500784202.1484,8.833673270442821e+20
X,3.734542970371592,26.20727126099223,0.3579836593638106,0.6643430456650066,1.7835970460931208,1.0083401552126787,0.0158028419348855,0.00010666639577490234,50.35916791027557,0.22773014487881227,0.0788408411235908,164387754120.36328,0.22588489957148994,4.620479375361752e+21,55.19017859181167,829038862106.9297,8.477056544464259e+20
