,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,296.02134239398924,1028.1725020949098,43.46378213317871,51.67909147253595,94.14221373668484,100.84091549392298,0.027978515560727214,0.00015162612869817945,8236.122366888563,36.29844388126623,4.225624233840985,11905714207630.53,29.864761568443445,5.2046187911134874e+23,1984.7169793945473,36667440471921.336,2.686132893235513e+22,248.88009690616178,34897.426569579184,20.900517607761508
C,324.7665589593374,1121.295109891329,43.672372211202415,52.06408303847268,94.29066835789132,101.2253310308353,0.033020025755325144,0.00025592707952788626,8442.504324108473,36.55399167765966,4.283590785232352,13022431566252.299,30.293840421891932,5.6737647297755514e+23,2171.5589084655758,40040858842063.22,2.8879652922959965e+22,260.39098766561483,39194.41496388745,21.06386811518992
M,339.8283017175496,1157.1043696299982,43.76929007713862,52.1774728324346,94.18073535167389,101.25890244295643,0.032918358448061596,0.0001623173067097276,8567.107546416364,36.66404825633772,4.3061895155041485,13509202017469.203,30.50495079140738,5.936861222368145e+23,2259.3672406331225,41455298887149.41,2.9888812262657045e+22,262.4013214108086,42391.98119068529,20.940986014711697
X,342.35086953188886,1162.2475275734357,43.78290451730611,52.17889717966377,94.15041308445817,101.25111641423689,0.03303255693025513,0.00015499181072297226,8583.620122014172,36.68101537915862,4.3086686392536295,13589136269449.096,30.540095719786173,5.978137430654271e+23,2270.158251809255,41633159657177.195,3.0009447315948337e+22,262.33851458710876,42994.70996644224,20.90112414194574
