,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,1.0067880541560588,4.29172865239555,0.026274725675584566,0.09958741219258715,0.2737154166759924,0.13060601953396805,0.0032888712294169946,2.9332681347726553e-05,18.806353287950806,0.021637438299374347,0.013100094303386043,54022259303.957886,0.03648700321694926,9.172890227360279e+20,5.979881736093658,88657255434.64748,8.54876184225442e+19,0.9829721407804047,231.07210179026936,0.16256932646792335
C,0.8980721298934703,4.845018099025359,0.020870146863635135,0.07985995629316595,0.26205433092650793,0.10820611060417104,0.0029514307438607986,3.091948506371981e-05,22.33400087161647,0.02940332884295552,0.013524870394342378,44273036653.82718,0.05210052581337685,9.630290878545359e+20,7.188436947858195,108557191728.12086,1.1072752418963025e+20,0.9781012739639617,254.76161797001495,0.19487972297860914
M,0.8591534177725891,4.4217065135494025,0.01922180032947139,0.08296667029539548,0.2656713876675891,0.11360478712008515,0.0029570388131707815,2.577383232967662e-05,22.326317050866464,0.02453129199632037,0.013007526017127215,43898530783.17028,0.04366036461627017,8.68937806619545e+20,6.314754043342046,87393318049.88333,9.377280728216253e+19,0.9967177142348145,252.40234557976856,0.18626215956860476
X,0.8456368104971613,4.329357355116938,0.01941347634627731,0.08215196168478492,0.2648336550500286,0.11570639780037731,0.0030698630707349504,2.5380945210432487e-05,23.077147525664536,0.024850306303026287,0.012884815962639278,43858076890.278175,0.04397141025804883,9.149278435270183e+20,6.213444720118994,85129316061.66197,9.336213693267005e+19,0.9993443491060798,247.81009419260133,0.1857749432377164
