,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,298.17631197164553,1036.6004808302614,43.36360062859653,51.37598293228621,93.3140943936018,100.41338499313346,0.02028323644380315,0.00010258549000766415,8246.553043480497,36.25841750768794,4.258079301697347,12064344349175.152,29.8242852748142,5.204436381194961e+23,2008.4857044638438,37029982232425.84,2.7208785345883056e+22,246.29712780211946,35025.786833884864,20.733321933906495
C,326.27810668394807,1132.7069888553988,43.60747687722309,51.78736437144666,93.47289838419931,100.83612339017934,0.0260839055105826,0.00020479236214335,8466.459992967022,36.55262400045912,4.316010461166936,13136772715297.28,30.312906657792105,5.696506437225002e+23,2200.8829651090123,40506759695163.2,2.934324393994556e+22,257.9221483366697,39415.921871659506,20.70872913050254
M,341.9150401727413,1166.7916042924035,43.687882378385815,51.88797257254034,93.35061576786542,100.87632749677927,0.02622376960313,0.00010474169570485,8592.502128593147,36.64571874074767,4.337453912253356,13649969011314.316,30.493533074613637,5.952219011732797e+23,2285.3966084005615,41835921139601.54,3.0282285159635996e+22,259.54928077697815,42653.55974849841,20.533034286799683
X,344.4335570286564,1171.2120427321372,43.699641144378404,51.88657726373559,93.3172825674336,100.86447010798906,0.0265587250174052,0.00010832655563905,8609.224180827689,36.66112448500962,4.339678670756543,13727076218280.102,30.522205533543705,5.987965321330231e+23,2295.1835709045727,41988834459218.9,3.0389993512727845e+22,259.50333198829117,43205.81332314675,20.498317621241064
