,precision,recall,f1-score,support
ABC,0.8458149779735683,0.661308840413318,0.7422680412371135,871.0
MX,0.2787286063569682,0.5205479452054794,0.3630573248407643,219.0
accuracy,0.6330275229357798,0.6330275229357798,0.6330275229357798,0.6330275229357798
macro avg,0.5622717921652682,0.5909283928093987,0.552662683038939,1090.0
weighted avg,0.7318774409239944,0.6330275229357798,0.6660779982180306,1090.0

TSS,0.12454358433053647
ORSS,-61950
SEDI,0.2063460021545081
