,precision,recall,f1-score,support
ABC,0.81,0.5919610231425091,0.6840253342716396,821.0
MX,0.2334096109839817,0.4722222222222222,0.31240428790199076,216.0
accuracy,0.5670202507232401,0.5670202507232401,0.5670202507232401,0.5670202507232401
macro avg,0.5217048054919908,0.5320916226823657,0.4982148110868152,1037.0
weighted avg,0.689900169693867,0.5670202507232401,0.6066192146806616,1037.0

TSS,0.04340961098398177
HSS1,0.62
HSS2,-1.3590992087644558
GS,-0.3551708832667552
ORSS,-76380
SEDI,0.07261604230229811
