,precision,recall,f1-score,support
ABC,0.7731239092495636,0.5086107921928817,0.613573407202216,871.0
MX,0.172147001934236,0.4063926940639269,0.24184782608695654,219.0
accuracy,0.48807339449541287,0.48807339449541287,0.48807339449541287,0.48807339449541287
macro avg,0.4726354555918998,0.4575017431284043,0.42771061664458626,1090.0
weighted avg,0.6523771728256583,0.48807339449541287,0.5388872583359391,1090.0

TSS,-0.05472908881620042
HSS1,0.5462478184991274
HSS2,-12.766546329723232
GS,-0.5046729926559961
ORSS,-111280
SEDI,-0.09337276303465694
