,precision,recall,f1-score,support
ABC,0.7793814432989691,0.43498273878020716,0.5583456425406205,869.0
MX,0.20421393841166938,0.5407725321888412,0.29647058823529415,233.0
accuracy,0.4573502722323049,0.4573502722323049,0.4573502722323049,0.4573502722323049
macro avg,0.4917976908553192,0.48787763548452423,0.4274081153879573,1102.0
weighted avg,0.6577716169480246,0.4573502722323049,0.5029764159951204,1102.0

TSS,-0.016404618289361572
HSS1,0.5587628865979382
HSS2,4.091465132187838
GS,-0.5372695602983141
ORSS,-105074
SEDI,-0.027419840840463266
