,precision,recall,f1-score,support
ABC,0.7754677754677755,0.4023732470334412,0.5298295454545455,927.0
MX,0.1924198250728863,0.55,0.285097192224622,240.0
accuracy,0.43273350471293914,0.43273350471293914,0.43273350471293914,0.43273350471293914
macro avg,0.4839438002703309,0.4761866235167206,0.4074633688395838,1167.0
weighted avg,0.6555607419675412,0.43273350471293914,0.4794989843789828,1167.0

TSS,-0.03211239945933819
ORSS,-119664
SEDI,-0.05399602209508822
