,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,315.5097912602535,1084.4639846289613,43.58852438234494,51.892506977615525,94.16635080682777,101.04083933054412,0.0296678825589305,0.0001556992312706,8380.441007489986,36.45668856470588,4.260771816622199,12607019978521.615,30.14357463563696,5.529537525366898e+23,2102.497277658396,38726343632377.37,2.815115935184699e+22,254.57666635572843,38346.827216613805,20.90515323164921
C,330.9561501459689,1135.7618397499857,43.70191542635645,52.10008312101922,94.2718932190178,101.264828916602,0.0328964119590633,0.000219925914935,8491.24943057417,36.59962054880442,4.292676784565919,13218467009069.363,30.375460290878184,5.781213938466152e+23,2203.894675112116,40573826834500.266,2.923730429117037e+22,261.11542471732696,40521.531856736336,21.0190438478242
M,340.66997112044254,1159.0300033766084,43.76096220414186,52.1745950327185,94.19908476751228,101.28447069378012,0.0330865312834337,0.0001612369187843,8572.540228286725,36.67377375933723,4.307446703630578,13528561880412.137,30.5072146451041,5.952006363145634e+23,2260.6335678919218,41492452896715.8,2.989493637521628e+22,262.5124096028404,42572.74831977089,20.91296411472729
X,342.3937781509829,1162.485772556397,43.77093629727923,52.17612440408637,94.18066044029338,101.2804068857592,0.0332464126765645,0.0001571486657546,8583.139944407374,36.68404063762905,4.309078151260519,13585722784776.39,30.529999046038192,5.9784183054997536e+23,2268.1784126680423,41616759816692.66,2.9978261874701417e+22,262.4614695392264,42964.65887259792,20.889057793136217
