,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,xray_class,is_coincident
453,145.28,1446.8,38.0,29.49,54.358,67.692,-0.017179,-0.003523,5987.1,29.939,4.9597,5865300000000.0,21.473,3.2792e+23,1177.2,20338000000000.0,2.9707e+22,204.07,155210.0,8.4059,C,False
595,712.73,1380.6,59.745,61.023,89.217,91.441,0.018268,-0.015191,16053.0,52.027,4.3822,24096000000000.0,57.458,1.0003e+24,2347.8,48719000000000.0,2.9541e+22,234.02,46126.0,10.555,C,False
702,0.85296,109.32,23.482,22.88,30.146,31.31,0.93621,-0.0049881,291.44,10.009,3.6503,86568000000.0,0.0,6.6185e+19,1.4461,38234000000.0,9.0106e+19,86.374,0.0,25.498,B,False
836,37.5,432.0,48.7,26.1,46.8,86.4,0.218,-0.0115,9780.0,46.4,4.71,2160000000000.0,48.8,4.24e+22,108.0,1770000000000.0,2.26e+21,32.7,58600.0,2.29,M,False
894,96.976,320.53,26.573,32.768,96.647,97.843,-0.29683,0.0043093,1570.1,22.03,3.4209,6962200000000.0,4.6081,4.6926e+22,581.29,13357000000000.0,1.3586e+22,7.0711,0.0,3.5308,B,False
1112,97.971,699.16,55.878,68.93,105.89,105.28,-0.11625,0.0047538,10520.0,45.175,3.3492,2234600000000.0,47.892,2.8792e+23,951.49,19972000000000.0,1.3157e+22,226.08,8088.2,16.05,B,False
1168,23.265,175.06,34.4,33.398,69.577,79.618,0.14119,0.0017367,4626.2,25.47,3.6916,1016100000000.0,15.721,8.2302e+22,370.1,6628500000000.0,9.4438e+21,466.33,6297.1,66.605,B,False
1407,55.9,2120.0,55.3,69.2,107.0,107.0,0.257,-0.00112,9770.0,44.7,4.34,6600000000000.0,44.6,6.45e+23,2450.0,52100000000000.0,2.9e+22,254.0,20000.0,13.4,M,False
1485,321.0,1930.0,39.2,45.5,85.2,93.6,-0.00128,0.00356,8650.0,33.6,4.93,23700000000000.0,24.5,1.03e+24,4200.0,75300000000000.0,6.54e+22,190.0,28200.0,9.77,M,False
1555,292.37,1011.9,40.229,45.615,79.972,89.853,-0.023609,0.00551,9198.1,32.881,4.7142,12604000000000.0,25.375,6.482e+23,2702.1,42411000000000.0,3.9205e+22,210.35,19806.0,15.879,C,False
1680,129.92,958.07,43.416,31.545,56.834,64.073,0.026407,-0.0034189,10429.0,35.209,4.1998,3627200000000.0,32.241,5.2637e+23,1198.7,19167000000000.0,2.8245e+22,104.17,7934.4,8.2387,C,False
1818,108.95,347.01,25.658,32.139,80.108,84.159,-0.16954,0.0031774,1754.6,19.533,3.1414,5216500000000.0,4.6573,7.9903e+22,888.8,17879000000000.0,2.2463e+22,0.0,0.0,0.0,B,False
1885,48.929,624.29,29.462,35.314,79.704,91.704,-0.071845,-0.001479,3777.1,23.96,4.8067,2497000000000.0,12.245,1.6594e+23,1032.8,18276000000000.0,2.48e+22,351.51,48704.0,21.02,B,False
1956,37.05,622.99,39.226,45.31,97.737,99.188,-0.052587,0.0013622,5950.7,33.411,4.1578,1883000000000.0,25.019,2.1495e+23,961.27,20279000000000.0,1.774e+22,190.29,3283.6,18.837,B,False
1962,136.34,924.3,56.765,52.75,75.848,85.69,0.15143,0.0039059,19123.0,50.466,4.5628,10007000000000.0,57.194,8.8658e+23,1935.2,36211000000000.0,2.5016e+22,182.63,22463.0,8.9376,C,False
1990,884.0,2340.0,53.7,64.1,97.4,101.0,0.0484,0.0123,11800.0,45.9,4.83,25500000000000.0,48.3,1.12e+24,4380.0,83000000000000.0,4.35e+22,292.0,88400.0,12.7,X,False
2087,167.71,2872.7,51.592,68.642,110.91,114.12,0.097143,-0.0022473,8832.1,42.284,4.6899,11338000000000.0,40.352,8.7534e+23,4162.2,86536000000000.0,4.5676e+22,773.23,31147.0,38.214,C,False
2104,180.28,2340.5,35.283,44.545,94.485,98.094,0.11482,0.0018643,3912.9,28.745,4.4992,5899000000000.0,15.287,5.0251e+23,3799.1,77057000000000.0,5.986e+22,1302.0,4038.4,96.091,C,False
