,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,xray_class,is_coincident
0,100.66,246.83,36.154,31.388,61.197,85.201,0.37936,0.013588,3956.4,28.997,4.9824,5613300000000.0,19.708,3.8924e+22,188.24,3841500000000.0,4.7217e+21,101.22,191150.0,5.8768,C,True
1,135.58,394.55,30.07,30.786,68.021,90.181,-0.41989,0.012208,2599.5,26.179,4.7604,7495900000000.0,14.498,3.8337e+22,269.02,5486500000000.0,7.1248e+21,18.909,144760.0,1.0754,C,True
2,150.7,695.7,34.714,32.784,64.047,80.758,-0.32141,0.0062752,4268.9,28.551,4.7039,8253200000000.0,19.619,1.3616e+23,674.62,12475000000000.0,1.6721e+22,129.64,22717.0,10.67,C,True
3,213.83,872.55,38.587,33.928,60.191,76.9,-0.27286,0.0062625,4637.6,31.744,4.7459,12443000000000.0,24.883,2.1029e+23,1075.8,19838000000000.0,2.2499e+22,178.78,6559.3,19.228,C,True
4,564.58,865.22,39.217,34.112,59.738,73.421,0.063728,0.013172,6945.0,0.0,4.5322,28366000000000.0,25.6,3.9537e+23,1779.5,26846000000000.0,3.0914e+22,228.45,21389.0,20.943,C,True
5,581.92,866.5,39.936,33.757,57.496,69.895,0.11203,0.013276,6911.4,31.955,4.5045,29016000000000.0,25.869,4.0233e+23,1734.1,26670000000000.0,3.153e+22,237.63,25734.0,21.245,C,True
6,607.0,726.0,37.5,37.9,70.4,82.8,0.067,0.0127,6360.0,29.6,4.43,31000000000000.0,22.8,4.04e+23,1880.0,33400000000000.0,3.38e+22,452.0,17000.0,37.3,M,True
7,842.31,764.87,35.743,40.214,78.626,87.779,-0.0041988,0.018011,6767.5,0.0,4.3568,37131000000000.0,19.855,4.2033e+23,2102.0,36443000000000.0,3.4631e+22,168.63,5646.6,15.096,C,True
8,873.77,843.49,37.77,39.731,75.955,84.953,-0.054383,0.016549,6450.0,30.916,4.3843,43722000000000.0,22.114,4.5228e+23,2146.3,39382000000000.0,3.6295e+22,161.42,4751.6,15.255,C,True
9,791.48,863.11,37.581,41.376,83.059,89.701,-0.16535,0.01798,6505.0,31.559,4.3704,37688000000000.0,22.428,3.8028e+23,1904.8,35549000000000.0,3.0737e+22,148.98,2255.1,14.317,C,True
10,737.6,862.08,37.754,41.094,82.695,89.519,-0.18447,0.016747,6450.3,31.788,4.296,34121000000000.0,22.634,3.7733e+23,1888.5,35969000000000.0,3.058e+22,152.63,2346.0,14.721,C,True
