,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,xray_class,is_coincident
984,73.66451305084745,1584.2745762711863,54.47269491525424,50.98359322033899,82.26933898305084,89.00479661016949,-0.05831436174576271,-0.0006918173762711864,13722.22033898305,47.18062711864407,4.825893220338982,4418410169491.525,51.48094915254238,1.1613881355932204e+24,3160.4762711864405,60804457627118.64,4.0895152542372875e+22,284.3344067796611,32076.35593220339,11.86915254237288,B,True
985,99.17443,1583.8677966101695,54.052220338983055,49.86386440677967,80.94906779661017,87.56223728813562,-0.04699119225423728,-0.0011144383932203388,13258.542372881357,46.82740677966102,4.79234745762712,4189552542372.8813,50.71442372881356,1.1473288135593222e+24,3155.0813559322037,61047915254237.29,4.15125593220339e+22,283.1550847457627,28776.084745762713,11.908711864406783,C,True
986,125.66480050847458,1579.1338983050848,53.618305084745764,49.06461016949152,80.18991525423728,86.78598305084743,-0.043341532932203386,-0.0015669778135593223,12938.254237288136,46.47681355932204,4.764861016949154,4403127118644.067,49.99228813559323,1.1315016949152543e+24,3148.688135593221,61040372881355.93,4.197067796610169e+22,282.03474576271185,25908.79661016949,11.947220338983053,C,True
987,146.3881394915254,1576.9762711864405,53.21835593220339,48.4702033898305,79.77120338983052,86.23033898305087,-0.040488083779661024,-0.002031029169491525,12631.677966101695,46.14784745762711,4.756386440677966,4526081355932.203,49.274711864406775,1.1149203389830507e+24,3141.3237288135592,61050084745762.71,4.2457016949152546e+22,280.88830508474575,23937.71186440678,11.963406779661018,B,True
988,151.42158016949153,1576.5389830508475,53.110915254237284,48.270508474576275,79.61732203389832,86.02911864406781,-0.03837964140677966,-0.0021549745932203388,12536.135593220339,46.07152542372881,4.756218644067797,4572410169491.525,49.08018644067797,1.1108033898305085e+24,3139.2661016949155,61081525423728.81,4.261337288135593e+22,280.57067796610175,24170.84745762712,11.967593220338982,B,True
989,171.67561237288132,1573.7084745762716,52.68449152542373,47.432932203389825,78.88625423728813,85.14393220338984,-0.027893200728813558,-0.0025066100677966106,12165.50847457627,45.751355932203396,4.751588135593219,5163766101694.915,48.304050847457624,1.0958118644067797e+24,3133.447457627118,61126728813559.32,4.322496610169492e+22,279.33610169491527,24582.677966101695,11.973949152542373,B,True
990,177.8730361016949,1572.369491525424,52.549779661016956,47.216966101694915,78.7192881355932,84.9441186440678,-0.025350370220338987,-0.002590644101694915,12076.338983050848,45.648508474576275,4.7488457627118645,5321294915254.237,48.06794915254238,1.0921118644067798e+24,3132.3406779661013,61124966101694.914,4.339188135593221e+22,278.98118644067796,24901.915254237287,11.974118644067797,B,True
991,193.54806779661018,1569.7491525423732,52.24176271186441,46.809644067796604,78.44489830508475,84.62962711864407,-0.021789614288135598,-0.0028114861016949153,11908.254237288136,45.40315254237288,4.742737288135594,5792167796610.17,47.54672881355933,1.0839033898305085e+24,3129.3813559322034,61023474576271.19,4.3704118644067795e+22,278.2449152542373,24804.01694915254,11.97962711864407,B,True
992,206.36084745762713,1567.394915254237,51.922796610169485,46.43011864406779,78.24559322033898,84.42198305084746,-0.018607851576271185,-0.002994005084745762,11751.28813559322,45.155118644067805,4.7419762711864415,6151411864406.779,46.99618644067795,1.0749661016949154e+24,3122.5254237288136,60861101694915.26,4.395886440677965e+22,277.49559322033895,24317.71186440678,11.995576271186438,C,True
993,262.4406779661017,1400.0,46.65932203389831,39.94915254237288,71.46610169491524,78.12033898305086,0.04184728813559323,-0.003687118644067797,9511.525423728814,40.32372881355932,4.5684745762711865,9177966101694.916,37.16271186440678,9.01e+23,2877.7966101694915,51835593220338.984,4.777966101694916e+22,266.7118644067797,12106.949152542373,13.854237288135591,M,True
994,276.08915254237286,1507.120338983051,49.16152542372882,43.34525423728813,76.64428813559321,82.90284745762712,0.000490233050847459,-0.003932379661016948,10474.805084745762,43.00327118644067,4.721315254237288,11278230508474.576,41.448559322033894,9.784869491525423e+23,2984.0322033898306,56583932203389.83,4.5756050847457635e+22,272.6337288135593,20775.338983050846,12.751694915254237,C,True
995,256.49152542372883,1382.3728813559321,46.49830508474577,39.40338983050848,70.92881355932204,77.69322033898305,0.046211186440677975,-0.0036637288135593217,9430.338983050848,39.87966101694914,4.586610169491527,11087118644067.797,36.664406779661014,8.798644067796612e+23,2816.101694915254,50088135593220.336,4.7403389830508466e+22,264.77966101694915,13145.084745762711,14.115254237288136,M,True
996,257.64406779661016,1378.8135593220338,46.46271186440678,39.30508474576271,70.76610169491525,77.52881355932203,0.0462528813559322,-0.003685762711864407,9412.881355932202,39.80508474576271,4.587288135593221,11504745762711.865,36.567796610169495,8.77271186440678e+23,2810.508474576271,49893220338983.055,4.737966101694916e+22,264.6949152542373,13193.22033898305,14.179661016949153,M,True
997,281.1201694915255,1390.584745762712,47.19722033898305,39.93252542372882,70.95869491525424,77.78630508474576,0.036086088983050844,-0.004032915254237288,9630.713559322034,40.40633898305086,4.61978813559322,14377213559322.033,37.50828813559322,8.925744067796611e+23,2781.0796610169496,50398593220338.984,4.645679661016949e+22,267.19203389830506,13160.152542372882,14.352322033898306,C,True
998,282.17220338983054,1366.377966101695,46.7601186440678,39.354627118644075,69.71316949152543,76.72074576271187,0.042593870338983056,-0.004079115254237289,9502.254237288136,39.885576271186444,4.599111864406779,14839847457627.12,36.708457627118634,8.739981355932204e+23,2749.2999999999997,49062898305084.74,4.651823728813559e+22,265.7345762711864,12623.35254237288,14.828949152542373,C,True
999,258.7541355932204,1315.6389830508474,45.90338983050849,37.93396610169492,66.50208474576272,74.19238983050845,0.06553722542372882,-0.0037572179661016945,9157.254237288136,38.84884745762712,4.553599999999999,14970116949152.543,35.03140677966102,8.368650847457627e+23,2692.827118644068,46866355932203.39,4.656377966101695e+22,263.1457627118644,10918.469491525424,16.212915254237288,C,True
1000,238.18191016949152,1304.2711864406779,45.55806779661017,37.51449152542373,64.22830508474577,73.34928813559321,0.09199611525423727,-0.003455489440677966,8920.016949152543,38.473779661016955,4.523981355932204,14059015254237.29,34.19950847457628,8.127786440677965e+23,2696.728813559322,46375033898305.086,4.623755932203388e+22,262.58847457627115,8688.747457627118,18.418677966101693,C,True
