,precision,recall,f1-score,support
ABC,0.8694516971279374,0.3823191733639495,0.5311004784688995,871.0
MX,0.23903818953323905,0.771689497716895,0.3650107991360691,219.0
accuracy,0.46055045871559636,0.46055045871559636,0.46055045871559636,0.46055045871559636
macro avg,0.5542449433305882,0.5770043355404222,0.44805563880248434,1090.0
weighted avg,0.7427906345928558,0.46055045871559636,0.4977301667497345,1090.0

TSS,0.10848988666117643
HSS1,0.7389033942558747
HSS2,1.4776943708241417
GS,-0.6027964808534336
ORSS,-53800
SEDI,0.19023710498252744
