,time_start,time_peak,time_end,nar,xray_class
69,2010-05-05 13:00:00,2010-05-05 13:04:00,2010-05-05 13:07:00,11069,B
70,2016-05-24 08:24:00,2016-05-24 08:36:00,2016-05-24 08:40:00,12546,B
71,2015-03-26 08:00:00,2015-03-26 08:11:00,2015-03-26 08:13:00,12305,B
72,2018-06-19 02:12:00,2018-06-19 02:26:00,2018-06-19 02:28:00,12714,B
73,2017-04-05 17:24:00,2017-04-05 17:40:00,2017-04-05 17:45:00,12645,B
74,2020-11-07 02:36:00,2020-11-07 02:47:00,2020-11-07 02:58:00,12781,B
75,2012-03-16 07:36:00,2012-03-16 07:50:00,2012-03-16 07:53:00,11433,B
76,2021-04-29 19:36:00,2021-04-29 19:54:00,2021-04-29 20:02:00,12820,B
77,2021-07-09 02:36:00,2021-07-09 02:44:00,2021-07-09 02:49:00,12840,B
78,2016-03-15 20:36:00,2016-03-15 20:40:00,2016-03-15 20:48:00,12521,B
79,2012-12-15 09:48:00,2012-12-15 09:56:00,2012-12-15 09:59:00,11633,B
80,2021-01-01 14:48:00,2021-01-01 15:04:00,2021-01-01 15:08:00,12795,B
81,2017-05-29 09:24:00,2017-05-29 09:34:00,2017-05-29 09:37:00,12659,B
82,2015-06-26 20:00:00,2015-06-26 20:10:00,2015-06-26 20:13:00,12371,B
83,2017-01-21 14:00:00,2017-01-21 14:11:00,2017-01-21 14:13:00,12628,B
84,2020-11-16 00:00:00,2020-11-16 00:09:00,2020-11-16 00:14:00,12781,B
85,2018-06-20 00:00:00,2018-06-20 00:06:00,2018-06-20 00:11:00,12714,B
86,2021-04-23 08:00:00,2021-04-23 08:16:00,2021-04-23 08:29:00,12816,B
87,2017-06-27 07:24:00,2017-06-27 07:35:00,2017-06-27 07:41:00,12664,B
88,2012-01-02 09:24:00,2012-01-02 09:30:00,2012-01-02 09:32:00,11389,B
89,2012-11-28 01:36:00,2012-11-28 01:48:00,2012-11-28 01:55:00,11620,B
90,2016-11-30 11:00:00,2016-11-30 11:11:00,2016-11-30 11:19:00,12615,B
91,2015-06-26 08:36:00,2015-06-26 08:45:00,2015-06-26 08:47:00,12371,B
92,2016-04-15 09:24:00,2016-04-15 09:28:00,2016-04-15 10:01:00,12529,B
93,2011-01-07 06:48:00,2011-01-07 07:05:00,2011-01-07 07:14:00,11141,B
94,2010-07-10 22:24:00,2010-07-10 22:49:00,2010-07-10 23:02:00,11087,B
95,2021-08-27 01:36:00,2021-08-27 01:51:00,2021-08-27 01:55:00,12860,B
96,2016-01-25 06:48:00,2016-01-25 06:54:00,2016-01-25 07:01:00,12489,B
97,2021-06-28 21:36:00,2021-06-28 21:50:00,2021-06-28 22:22:00,12835,B
98,2015-06-28 02:12:00,2015-06-28 02:25:00,2015-06-28 02:28:00,12371,B
99,2017-08-15 09:48:00,2017-08-15 10:05:00,2017-08-15 10:12:00,12671,B
100,2016-02-22 16:24:00,2016-02-22 16:31:00,2016-02-22 16:33:00,12505,B
101,2011-04-13 20:00:00,2011-04-13 20:09:00,2011-04-13 20:11:00,11193,B
102,2021-07-21 10:48:00,2021-07-21 11:00:00,2021-07-21 11:07:00,12847,B
103,2019-03-21 20:48:00,2019-03-21 21:13:00,2019-03-21 21:19:00,12736,B
104,2016-05-12 16:00:00,2016-05-12 16:10:00,2016-05-12 16:14:00,12542,B
105,2021-09-23 02:48:00,2021-09-23 03:05:00,2021-09-23 03:14:00,12871,B
106,2011-07-31 02:12:00,2011-07-31 02:13:00,2011-07-31 02:14:00,11263,B
107,2020-11-05 08:48:00,2020-11-05 08:57:00,2020-11-05 09:03:00,12781,B
108,2010-09-20 23:36:00,2010-09-20 23:43:00,2010-09-20 23:45:00,11109,B
109,2016-11-30 11:36:00,2016-11-30 11:50:00,2016-11-30 11:53:00,12615,B
110,2011-09-02 08:48:00,2011-09-02 08:52:00,2011-09-02 08:55:00,11283,B
111,2016-05-20 08:24:00,2016-05-20 08:42:00,2016-05-20 08:47:00,12546,B
112,2021-04-21 16:48:00,2021-04-21 16:58:00,2021-04-21 17:03:00,12817,B
113,2018-02-08 18:36:00,2018-02-08 18:45:00,2018-02-08 18:50:00,12699,B
114,2015-06-26 08:48:00,2015-06-26 09:03:00,2015-06-26 09:05:00,12371,B
115,2011-08-16 15:36:00,2011-08-16 15:42:00,2011-08-16 15:48:00,11271,B
116,2017-12-22 00:12:00,2017-12-22 00:21:00,2017-12-22 00:23:00,12692,B
117,2012-02-25 14:12:00,2012-02-25 15:00:00,2012-02-25 15:15:00,11424,B
118,2017-02-23 00:36:00,2017-02-23 01:05:00,2017-02-23 01:20:00,12638,B
119,2016-06-11 00:12:00,2016-06-11 00:20:00,2016-06-11 00:23:00,12552,B
120,2016-05-20 08:24:00,2016-05-20 08:42:00,2016-05-20 08:47:00,12546,B
121,2021-08-09 13:48:00,2021-08-09 14:05:00,2021-08-09 14:20:00,12853,B
122,2015-10-20 13:12:00,2015-10-20 13:26:00,2015-10-20 13:28:00,12436,B
123,2016-05-13 16:12:00,2016-05-13 16:21:00,2016-05-13 16:24:00,12544,B
124,2010-05-12 02:00:00,2010-05-12 02:22:00,2010-05-12 02:29:00,11067,B
125,2010-05-02 06:00:00,2010-05-02 06:09:00,2010-05-02 06:18:00,11067,B
126,2017-10-05 19:48:00,2017-10-05 20:02:00,2017-10-05 20:10:00,12683,B
127,2012-02-06 14:36:00,2012-02-06 14:47:00,2012-02-06 14:52:00,11410,B
128,2014-06-23 16:36:00,2014-06-23 16:45:00,2014-06-23 16:47:00,12096,B
129,2016-04-30 02:36:00,2016-04-30 02:51:00,2016-04-30 02:56:00,12537,B
130,2021-07-28 13:48:00,2021-07-28 14:00:00,2021-07-28 14:05:00,12846,B
131,2011-06-18 22:12:00,2011-06-18 22:22:00,2011-06-18 22:27:00,11237,B
132,2017-08-14 21:12:00,2017-08-14 21:27:00,2017-08-14 21:30:00,12671,B
133,2013-07-02 23:00:00,2013-07-02 23:17:00,2013-07-02 23:27:00,11785,B
134,2017-04-22 10:00:00,2017-04-22 10:10:00,2017-04-22 10:13:00,12651,B
135,2021-02-02 13:36:00,2021-02-02 13:53:00,2021-02-02 14:00:00,12801,B
136,2016-12-07 11:12:00,2016-12-07 11:23:00,2016-12-07 11:32:00,12615,B
137,2013-06-30 05:12:00,2013-06-30 05:20:00,2013-06-30 05:31:00,11778,B
138,2021-08-21 11:24:00,2021-08-21 11:36:00,2021-08-21 11:41:00,12859,B
139,2017-05-29 16:48:00,2017-05-29 16:58:00,2017-05-29 17:00:00,12659,B
140,2010-05-11 19:24:00,2010-05-11 20:16:00,2010-05-11 20:42:00,11067,B
141,2018-06-24 13:48:00,2018-06-24 14:03:00,2018-06-24 14:19:00,12713,B
142,2020-12-24 22:24:00,2020-12-24 22:40:00,2020-12-24 22:47:00,12795,B
143,2011-03-13 01:36:00,2011-03-13 01:49:00,2011-03-13 01:52:00,11169,B
144,2016-05-20 04:24:00,2016-05-20 04:40:00,2016-05-20 04:43:00,12546,B
145,2013-07-02 23:00:00,2013-07-02 23:17:00,2013-07-02 23:27:00,11785,B
146,2021-04-16 10:36:00,2021-04-16 10:47:00,2021-04-16 10:52:00,12816,B
147,2010-05-27 23:00:00,2010-05-27 23:15:00,2010-05-27 23:25:00,11072,B
148,2016-03-01 17:24:00,2016-03-01 17:57:00,2016-03-01 18:03:00,12506,B
149,2010-11-25 20:48:00,2010-11-25 21:03:00,2010-11-25 21:05:00,11127,B
150,2011-03-24 16:48:00,2011-03-24 16:58:00,2011-03-24 17:00:00,11176,B
151,2020-11-05 01:48:00,2020-11-05 02:04:00,2020-11-05 02:11:00,12781,B
152,2011-01-20 20:12:00,2011-01-20 20:27:00,2011-01-20 20:31:00,11147,B
153,2021-09-28 23:00:00,2021-09-28 23:16:00,2021-09-28 23:21:00,12871,B
154,2021-05-23 03:00:00,2021-05-23 03:06:00,2021-05-23 03:11:00,12824,B
155,2011-08-02 14:36:00,2011-08-02 14:41:00,2011-08-02 14:43:00,11263,B
156,2013-05-31 05:24:00,2013-05-31 05:36:00,2013-05-31 05:43:00,11757,B
157,2018-02-15 23:48:00,2018-02-15 23:55:00,2018-02-15 23:58:00,12699,B
158,2012-12-28 11:00:00,2012-12-28 11:10:00,2012-12-28 11:18:00,11635,B
159,2021-05-18 08:12:00,2021-05-18 08:23:00,2021-05-18 08:27:00,12824,B
160,2021-05-26 16:24:00,2021-05-26 16:35:00,2021-05-26 16:50:00,12826,B
161,2018-06-02 04:24:00,2018-06-02 04:30:00,2018-06-02 04:37:00,12712,B
162,2011-02-03 05:48:00,2011-02-03 05:56:00,2011-02-03 06:02:00,11150,B
163,2016-11-29 18:48:00,2016-11-29 19:01:00,2016-11-29 19:03:00,12615,B
164,2021-09-26 22:36:00,2021-09-26 23:00:00,2021-09-26 23:17:00,12871,B
165,2010-08-16 02:12:00,2010-08-16 02:37:00,2010-08-16 02:49:00,11098,B
166,2021-03-20 15:24:00,2021-03-20 15:50:00,2021-03-20 16:10:00,12811,B
167,2011-06-06 13:12:00,2011-06-06 13:20:00,2011-06-06 13:28:00,11228,B
168,2019-04-19 16:00:00,2019-04-19 16:13:00,2019-04-19 16:16:00,12738,B
169,2021-07-08 04:00:00,2021-07-08 04:16:00,2021-07-08 04:29:00,12835,B
