,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,0.7365570016886868,1.9095598064735073,-2.0326247600809344,-1.3409198542270382,-0.4754672842569073,-0.2505747842382864,-4.259980305110546,-9.081613283905279,3.729607680623502,-2.0380712687610743,-3.8500931262234825,26.079385810971722,-1.6646807450595127,48.64555863981465,2.6290981198755126,26.127471178242065,46.58342245158901,1.5330775128671916,5.914520231944907,0.2982048420461993
C,1.3739649805591143,1.9169882509602596,-2.529018897811733,-2.00926756945472,-0.9182129163953906,-0.7663986060290976,-4.487996616626369,-9.258803042694769,3.0644567718657076,-2.343140834100514,-4.29552489120946,25.906877216175786,-1.8495522810624963,49.67837785387482,2.807907931396706,26.581073562144724,47.11692900619074,1.302878620936463,6.232193887839277,-0.24724198059819275
M,1.2361623336602463,1.3262618455373925,-2.415704118587126,-2.145800625120191,-1.0507690575687385,-1.0879639951760036,-4.451245837635176,-9.1929974884086,3.1571113847822865,-2.161343516319672,-4.497572185058863,25.882031924207034,-1.7806404645103362,49.41216534504366,2.5469007159830053,26.260343478449283,46.805734175513315,1.4940299810067927,6.47704750593421,-0.3972431120789335
X,1.2585175471707324,1.1834077317234395,-2.225718215256302,-2.017674822059659,-1.0162577126968395,-1.0670206697948807,-4.373526090620519,-9.227463722122279,3.0424366182736926,-2.049619136822299,-4.526523547291248,25.861185915528647,-1.7397755626724456,49.322458149972505,2.570890474518327,26.238676077712952,46.66839826699676,1.4809906658103291,6.553553987210477,-0.42028959252340986
