,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,175.45951448776208,679.0342389953923,42.633352787486025,50.37848786885581,94.12092295742413,99.77351506490598,0.0148270013924467,0.00014286903006080335,7331.847126129262,35.303601429390945,4.009006632932271,7524984516572.092,28.10764939968132,3.191718479381313e+23,1241.922839417761,23745309032197.43,1.8669091444976293e+22,210.9500809237538,11180.6742073127,20.898585290082952
C,304.1382542255962,1073.2514124944055,43.542695665273165,51.92939316859333,94.45522016733855,101.19510957621536,0.03300512727367354,0.0003743357696145689,8276.955831552907,36.40499347818368,4.254198717752886,12357610220079.182,30.004996265149263,5.316689230974537e+23,2055.8874157392734,38172846038256.234,2.7554222567118627e+22,258.0790108082669,34657.16191798095,21.25700014892462
M,337.28128181443947,1151.9106669147386,43.7555447324485,52.176035211896206,94.21135208957898,101.2667643246404,0.03280304430665457,0.00016971348085816895,8550.43515621903,36.64691752866445,4.303686125993587,13428493545919.533,30.469468009096996,5.895185107517587e+23,2248.471686089902,41275715143499.76,2.9767008534979253e+22,262.4647970810196,41782.454178980544,20.981272603159887
X,342.3508695318889,1162.2475275734348,43.78290451730608,52.17889717966378,94.15041308445815,101.25111641423686,0.033032556930255155,0.00015499181072297226,8583.620122014168,36.68101537915857,4.308668639253628,13589136269449.096,30.540095719786162,5.978137430654269e+23,2270.158251809255,41633159657177.195,3.0009447315948358e+22,262.3385145871084,42994.709966442206,20.901124141945754
