,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,177.50126253382032,685.4947455199726,42.532863700258815,50.078610040777704,93.42112149551357,99.29295375135445,0.00595470818766855,0.00011850619461265,7306.017438143301,35.24992871109973,4.0299340218941335,7708237901694.822,28.045308701629992,3.186248266870713e+23,1259.0260023947144,24087638822556.504,1.8920978978821613e+22,210.34613820944054,11352.505298709944,21.2163386429393
C,304.72665122152887,1082.5579340724853,43.497047040829415,51.70618056042309,93.7226319498212,100.82771775106593,0.027171166815629352,0.00035013407008739996,8268.4839100733,36.39320720396392,4.277431123800682,12432114569910.5,29.99880174031072,5.35879068452406e+23,2082.3155675333664,38650708818750.484,2.7983003159805462e+22,256.61251130151885,34836.47334238745,21.072807572805416
M,339.09126920722997,1158.3023732959123,43.679948512069984,51.92097950380732,93.50765490382041,100.93372003713131,0.02722927938908255,0.0001194454611279,8547.411584455778,36.613337729154054,4.3249142147943225,13548369272679.375,30.42532201481686,5.9180363973955496e+23,2269.6506485093787,41618164550836.59,3.0081836951408805e+22,260.2261352126637,41969.70950417216,20.694141090879157
X,344.0868881101625,1167.4606354954576,43.70404686229986,51.91189237026474,93.44396410572747,100.91218360570835,0.027709236264568102,0.0001229223431732,8580.800741686293,36.64237039422616,4.329548384607769,13705417453849.95,30.48307396434528,5.990053832970135e+23,2289.1526735417656,41927060307326.44,3.0294337570720465e+22,260.1468732243258,43086.65124621581,20.62014321385594
