,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX
B,183.1435386965132,696.2052683441683,42.525117095188726,49.982880307572934,93.08059196604185,99.12114947793012,0.0018564638205801137,0.00014824036958571327,7353.239805536055,35.28836929257011,4.059563619358436,7964780560219.063,28.101229995659907,3.251514654160882e+23,1285.693303684712,24529907275704.59,1.929673947975839e+22
C,313.3507926000237,1094.4218842207015,43.57336247834173,51.74591265054083,93.52327211702438,100.75618267454821,0.02242508294646489,0.00037782011491078484,8370.693092780315,36.50160757567581,4.3039731869417635,12746407888079.562,30.217733842337534,5.455085027880569e+23,2120.7393068734227,39234219736191.08,2.838746432610045e+22
M,348.38312249619577,1170.7869618010266,43.7921641551884,52.03027231991083,93.35512753463213,100.93481287657406,0.023555833230642854,0.00013884337049151186,8656.654236062315,36.74910249682123,4.350952680228109,13877377350303.06,30.680955655659098,6.038192686989443e+23,2312.1978278712313,42244966403506.234,3.0463425293849933e+22
X,353.1870655077342,1180.3100451173427,43.8148530750517,52.02849759164006,93.30002569959653,100.92253403681885,0.02396124138048085,0.00013829923515456578,8688.544587995588,36.77927126267728,4.355114782618664,14026357296101.926,30.7389456438503,6.115330709439043e+23,2332.6089512289127,42572784242206.37,3.069496564045562e+22
