,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX
B,13.695385158073378,18.160317501365636,0.5644030311275026,1.1293674407155607,1.9649894166646893,2.0733460702518327,0.030195823092849284,0.000336972376115128,184.14182031987656,0.5229422616057504,0.05672635885263741,378383523197.1467,0.8644683451385934,1.0582923572839998e+22,38.52301136662525,612315144096.3639,3.372344489894896e+20
C,10.75506218496338,19.963257418951436,0.3751855978686276,0.6058090406560885,1.1060577635291442,1.186721207126126,0.025263557970553907,0.00021266108583780713,150.27547655674186,0.36071785086095415,0.03741116213414984,309479687162.5446,0.5559753217749757,1.6323698550347504e+22,34.07088053784428,568770314936.5349,3.6219477247518206e+20
M,11.058002764361916,25.073400228321823,0.4048633859571222,0.6606880969787746,1.1086306215360864,1.1464755808443599,0.01900503945295216,0.000112823274563726,183.15393561640468,0.3885584264159528,0.03401729265931799,292224605064.0178,0.5800509641396888,1.7374313308412334e+22,43.464593851274095,781168476819.4192,4.974216786845131e+20
X,11.2947303814579,23.763692613953697,0.3738897388421133,0.6498596152293514,1.120553156433759,1.1712534178994682,0.018877001585895222,0.00010833497958654896,169.05369166712566,0.35785443554001356,0.033201122792140575,298059953963.04004,0.5417918806346891,1.6954052277326276e+22,43.43185110554474,785904270487.719,4.962125855024714e+20
