,time_start,time_peak,time_end,nar,xray_class
57,2021-04-21 22:39:00.0,2021-04-21 22:48:00.0,2021-04-21 22:55:00.0,12817,B2.6
58,2013-07-04 18:42:00.0,2013-07-04 18:54:00.0,2013-07-04 19:02:00.0,11787,C5.9
59,2018-06-17 06:53:00.0,2018-06-17 06:57:00.0,2018-06-17 07:06:00.0,12713,B1.0
60,2014-06-29 07:59:00.0,2014-06-29 08:06:00.0,2014-06-29 08:14:00.0,12096,C1.8
61,2012-08-07 21:17:00.0,2012-08-07 21:37:00.0,2012-08-07 21:42:00.0,11542,C1.2
62,2013-11-25 10:02:00.0,2013-11-25 11:49:00.0,2013-11-25 12:16:00.0,11904,C2.0
63,2013-10-12 17:04:00.0,2013-10-12 17:08:00.0,2013-10-12 17:18:00.0,11861,C1.8
64,2019-01-30 20:27:00.0,2019-01-30 20:34:00.0,2019-01-30 20:40:00.0,12733,B5.3
65,2015-09-03 11:28:00.0,2015-09-03 11:37:00.0,2015-09-03 11:48:00.0,12407,C1.7
66,2017-06-02 05:50:00.0,2017-06-02 05:55:00.0,2017-06-02 06:04:00.0,12661,B8.4
67,2015-11-21 03:32:00.0,2015-11-21 03:41:00.0,2015-11-21 03:53:00.0,12457,B7.3
68,2013-12-17 21:28:00.0,2013-12-17 21:34:00.0,2013-12-17 21:40:00.0,11917,C1.9
69,2013-05-25 20:17:00.0,2013-05-25 20:29:00.0,2013-05-25 20:35:00.0,11755,C1.6
70,2011-03-06 13:31:00.0,2011-03-06 13:50:00.0,2011-03-06 14:16:00.0,11169,C6.0
71,2014-05-04 17:16:00.0,2014-05-04 17:38:00.0,2014-05-04 17:50:00.0,12053,C1.4
72,2015-01-26 23:45:00.0,2015-01-26 23:48:00.0,2015-01-26 23:50:00.0,12268,C1.2
73,2016-03-24 12:55:00.0,2016-03-24 12:58:00.0,2016-03-24 13:01:00.0,12526,B2.0
74,2012-11-14 16:58:00.0,2012-11-14 17:04:00.0,2012-11-14 17:10:00.0,11614,B9.5
75,2012-11-29 20:35:00.0,2012-11-29 20:41:00.0,2012-11-29 20:48:00.0,11625,C1.3
76,2016-04-28 01:18:00.0,2016-04-28 01:25:00.0,2016-04-28 01:36:00.0,12535,B8.1
77,2013-07-28 12:12:00.0,2013-07-28 12:21:00.0,2013-07-28 12:29:00.0,11800,C3.2
78,2014-09-04 19:16:00.0,2014-09-04 19:31:00.0,2014-09-04 19:42:00.0,12157,C3.9
79,2013-05-13 21:26:00.0,2013-05-13 21:29:00.0,2013-05-13 21:34:00.0,11748,C2.9
80,2015-11-03 21:51:00.0,2015-11-03 21:56:00.0,2015-11-03 22:00:00.0,12443,B9.8
81,2012-11-18 03:55:00.0,2012-11-18 04:07:00.0,2012-11-18 04:15:00.0,11615,C5.7
82,2017-07-16 22:32:00.0,2017-07-16 22:35:00.0,2017-07-16 22:39:00.0,12665,B4.6
83,2015-10-07 07:52:00.0,2015-10-07 07:58:00.0,2015-10-07 08:05:00.0,12427,B5.1
84,2013-07-05 19:31:00.0,2013-07-05 19:42:00.0,2013-07-05 19:54:00.0,11787,C4.9
85,2016-01-20 14:25:00.0,2016-01-20 14:32:00.0,2016-01-20 14:34:00.0,12487,C1.3
86,2017-12-22 00:17:00.0,2017-12-22 00:21:00.0,2017-12-22 00:23:00.0,12692,B1.7
