ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
0.332339531,0.982810907,0.966854605,0.857288711,0.723340274,0.06429841,0.013955929
0.26479934,0.954662393,0.94399908,0.88923235,0.864832961,0.069799116,0.052400401
0.138517823,0.896000891,0.955163957,0.815561187,0.798748178,0.09607873,0.031628443
0.230359713,0.822419753,0.920834772,0.65017479,0.826970505,0.067192499,0.059238521
0.201672962,0.82170738,0.878627709,0.664938318,0.867638025,0.048174896,0.166462053
0.442456876,0.781893007,0.823560444,0.735554938,0.712664336,0.072971212,0.301580395
0.374089829,0.734316038,0.763363801,0.773194972,0.74047337,0.144506408,0.435672423
0.39146563,0.637761427,0.740553557,0.677559877,0.653112395,0.172418976,0.478362363
0.59917669,0.654986907,0.708318803,0.662477231,0.724700342,0.200397627,0.523308296
0.604080959,0.71274554,0.650935428,0.657202137,0.80968231,0.252389236,0.479650935
0.468043144,0.698283131,0.590347864,0.631718739,0.654270009,0.278283601,0.486923348
0.548776912,0.719390466,0.539880113,0.553286335,0.623378345,0.3292824,0.516195819
0.457069622,0.677600758,0.49869624,0.536097635,0.584680323,0.386631901,0.548793493
0.536312821,0.695969683,0.500634462,0.542546345,0.643641143,0.466004942,0.610700514
0.567035782,0.749176976,0.459035069,0.456008818,0.702745027,0.456614616,0.660056639
0.536379212,0.704519862,0.437953965,0.506627111,0.639694537,0.541343037,0.690034761
0.634283856,0.666767266,0.355110216,0.518741488,0.50421527,0.632903615,0.775786653
0.792463991,0.646502118,0.304557856,0.402142216,0.516452013,0.698456949,0.913500536
0.818449342,0.520380802,0.23447963,0.328807793,0.510108911,0.744296792,0.909370157
0.758632881,0.447711033,0.197082197,0.286852285,0.490739631,0.803733579,0.951669482
0.74425195,0.338696804,0.149601301,0.244322947,0.318396145,0.889737153,0.974488099
0.730172212,0.186713988,0.070927067,0.28061413,0.135754823,0.910605834,0.910622553
0.56672659,0.061068672,0.046849065,0.154223612,0.114676828,0.955494041,0.937554168
0.396844574,0.020460076,0.026199526,0.108013583,0.167948795,0.951676288,0.966830366
