,time_start,time_peak,time_end,nar,xray_class,is_coincident
341,2014-10-30 15:21:00,2014-10-30 15:42:00,2014-10-30 15:55:00,12192,C,False
343,2012-06-30 10:08:00,2012-06-30 10:11:00,2012-06-30 10:15:00,11515,B,False
523,2020-11-14 05:40:00,2020-11-14 05:44:00,2020-11-14 05:52:00,12781,B,False
574,2017-07-11 20:18:00,2017-07-11 20:31:00,2017-07-11 20:35:00,12665,C,False
847,2021-09-28 23:09:00,2021-09-28 23:16:00,2021-09-28 23:21:00,12871,B,False
1032,2018-02-12 21:32:00,2018-02-12 21:36:00,2018-02-12 21:40:00,12699,B,False
1310,2015-11-04 13:31:00,2015-11-04 13:52:00,2015-11-04 14:13:00,12443,M,False
1388,2011-03-07 19:43:00,2011-03-07 20:12:00,2011-03-07 20:58:00,11164,M,False
1817,2011-07-29 13:45:00,2011-07-29 13:51:00,2011-07-29 13:54:00,11263,C,False
1823,2011-08-01 00:39:00,2011-08-01 00:47:00,2011-08-01 01:11:00,11263,C,False
1846,2013-11-08 04:20:00,2013-11-08 04:26:00,2013-11-08 04:29:00,11890,X,False
1949,2014-04-20 14:18:00,2014-04-20 14:46:00,2014-04-20 15:01:00,12035,C,False
1973,2016-01-01 23:10:00,2016-01-02 00:11:00,2016-01-02 01:01:00,12473,M,False
2039,2014-01-10 07:06:00,2014-01-10 07:27:00,2014-01-10 08:26:00,11944,C,False
2110,2011-11-12 07:42:00,2011-11-12 07:50:00,2011-11-12 08:01:00,11339,C,False
2187,2021-08-22 14:46:00,2021-08-22 15:02:00,2021-08-22 15:14:00,12859,B,False
2331,2020-12-01 23:11:00,2020-12-01 23:20:00,2020-12-01 23:26:00,12786,C,False
2402,2014-06-20 18:23:00,2014-06-20 18:33:00,2014-06-20 18:46:00,12087,C,False
2404,2014-06-23 07:23:00,2014-06-23 07:33:00,2014-06-23 07:39:00,12087,B,False
2544,2012-10-30 01:16:00,2012-10-30 01:37:00,2012-10-30 01:50:00,11598,B,False
2546,2012-10-31 13:06:00,2012-10-31 13:11:00,2012-10-31 13:18:00,11598,B,False
2548,2012-09-01 18:54:00,2012-09-01 19:02:00,2012-09-01 19:12:00,11564,C,False
2551,2012-09-06 17:27:00,2012-09-06 17:31:00,2012-09-06 17:34:00,11564,C,False
2609,2016-09-01 02:27:00,2016-09-01 02:31:00,2016-09-01 02:37:00,12585,B,False
2615,2016-09-05 21:35:00,2016-09-05 21:46:00,2016-09-05 21:52:00,12585,B,False
2680,2021-04-28 08:04:00,2021-04-28 08:09:00,2021-04-28 08:19:00,12820,B,False
2683,2011-03-06 13:31:00,2011-03-06 13:50:00,2011-03-06 14:16:00,11169,C,False
2804,2011-03-07 13:45:00,2011-03-07 14:30:00,2011-03-07 14:56:00,11166,M,False
2849,2012-07-04 16:33:00,2012-07-04 16:39:00,2012-07-04 16:48:00,11513,M,False
3075,2012-07-07 08:18:00,2012-07-07 08:28:00,2012-07-07 08:39:00,11520,M,False
3078,2012-07-08 19:21:00,2012-07-08 19:24:00,2012-07-08 19:28:00,11520,C,False
3165,2011-07-29 22:35:00,2011-07-29 22:38:00,2011-07-29 22:40:00,11260,B,False
3171,2011-08-23 01:01:00,2011-08-23 01:25:00,2011-08-23 01:34:00,11271,B,False
3181,2014-01-31 15:32:00,2014-01-31 15:42:00,2014-01-31 15:53:00,11968,M,False
3234,2013-09-29 05:11:00,2013-09-29 05:25:00,2013-09-29 05:42:00,11850,C,False
3235,2014-03-20 03:42:00,2014-03-20 03:56:00,2014-03-20 04:08:00,12010,M,False
3238,2014-03-27 20:20:00,2014-03-27 20:29:00,2014-03-27 20:38:00,12010,C,False
3292,2011-09-18 22:23:00,2011-09-18 22:27:00,2011-09-18 22:29:00,11295,C,False
3309,2013-03-15 05:46:00,2013-03-15 06:58:00,2013-03-15 08:35:00,11692,M,False
3461,2011-09-06 22:12:00,2011-09-06 22:20:00,2011-09-06 22:24:00,11283,X,False
3469,2011-09-10 07:18:00,2011-09-10 07:40:00,2011-09-10 07:56:00,11283,M,False
3525,2015-10-18 07:24:00,2015-10-18 07:30:00,2015-10-18 07:50:00,12436,C,False
3534,2015-10-26 01:00:00,2015-10-26 01:12:00,2015-10-26 01:20:00,12436,B,False
3542,2016-02-29 04:19:00,2016-02-29 04:30:00,2016-02-29 04:41:00,12506,B,False
3543,2016-03-01 17:34:00,2016-03-01 17:57:00,2016-03-01 18:03:00,12506,B,False
3546,2014-02-22 09:10:00,2014-02-22 09:18:00,2014-02-22 09:32:00,11982,C,False
3559,2021-01-01 14:59:00,2021-01-01 15:04:00,2021-01-01 15:08:00,12795,B,False
3593,2021-09-06 05:52:00,2021-09-06 05:59:00,2021-09-06 06:03:00,12868,B,False
3657,2014-05-09 00:48:00,2014-05-09 00:55:00,2014-05-09 01:03:00,12056,C,False
3664,2014-05-12 01:33:00,2014-05-12 01:51:00,2014-05-12 02:09:00,12056,C,False
3667,2014-05-14 12:59:00,2014-05-14 15:04:00,2014-05-14 15:28:00,12056,C,False
3732,2013-01-06 12:44:00,2013-01-06 12:54:00,2013-01-06 13:01:00,11652,C,False
3740,2013-10-09 06:08:00,2013-10-09 06:13:00,2013-10-09 06:21:00,11865,C,False
3758,2013-10-26 19:49:00,2013-10-26 19:53:00,2013-10-26 19:58:00,11882,M,False
3824,2011-01-10 20:42:00,2011-01-10 21:06:00,2011-01-10 21:12:00,11140,B,False
3825,2011-02-16 07:35:00,2011-02-16 07:44:00,2011-02-16 07:55:00,11161,M,False
3831,2011-04-16 20:52:00,2011-04-16 21:02:00,2011-04-16 21:26:00,11193,B,False
3851,2014-02-28 00:44:00,2014-02-28 00:48:00,2014-02-28 00:50:00,11991,M,False
3852,2014-03-05 02:06:00,2014-03-05 02:10:00,2014-03-05 02:12:00,11991,M,False
3853,2014-03-11 11:58:00,2014-03-11 12:07:00,2014-03-11 12:14:00,11991,M,False
3899,2016-05-23 08:13:00,2016-05-23 08:18:00,2016-05-23 08:24:00,12546,B,False
3908,2010-11-11 20:47:00,2010-11-11 20:53:00,2010-11-11 20:57:00,11124,B,False
3918,2010-11-15 11:17:00,2010-11-15 11:54:00,2010-11-15 12:18:00,11124,B,False
3919,2010-11-17 00:28:00,2010-11-17 00:40:00,2010-11-17 00:47:00,11124,B,False
3927,2013-10-28 11:32:00,2013-10-28 11:53:00,2013-10-28 12:39:00,11877,M,False
3954,2013-12-16 08:37:00,2013-12-16 08:42:00,2013-12-16 08:45:00,11917,C,False
3956,2013-12-18 05:31:00,2013-12-18 05:35:00,2013-12-18 05:38:00,11917,C,False
3969,2014-10-31 09:19:00,2014-10-31 09:23:00,2014-10-31 09:27:00,12201,C,False
3979,2015-12-21 10:09:00,2015-12-21 10:19:00,2015-12-21 10:32:00,12472,M,False
3980,2016-05-12 12:20:00,2016-05-12 12:23:00,2016-05-12 12:27:00,12544,B,False
3996,2018-06-16 05:16:00,2018-06-16 05:20:00,2018-06-16 05:23:00,12713,B,False
4015,2012-07-27 17:17:00,2012-07-27 17:26:00,2012-07-27 17:32:00,11532,M,False
4023,2012-12-15 12:57:00,2012-12-15 13:05:00,2012-12-15 13:08:00,11629,B,False
4024,2012-12-17 01:32:00,2012-12-17 02:20:00,2012-12-17 04:39:00,11629,C,False
4025,2013-04-05 17:34:00,2013-04-05 17:48:00,2013-04-05 18:04:00,11719,M,False
4026,2013-04-11 06:55:00,2013-04-11 07:16:00,2013-04-11 07:29:00,11719,M,False
4030,2013-05-13 21:58:00,2013-05-13 22:05:00,2013-05-13 22:11:00,11745,C,False
4031,2013-05-22 13:08:00,2013-05-22 13:32:00,2013-05-22 14:08:00,11745,M,False
4061,2015-02-13 02:20:00,2015-02-13 02:28:00,2015-02-13 02:51:00,12282,B,False
4065,2016-08-06 01:49:00,2016-08-06 02:13:00,2016-08-06 03:17:00,12572,B,False
4079,2013-09-05 21:59:00,2013-09-05 22:21:00,2013-09-05 22:32:00,11837,C,False
4103,2015-11-04 11:55:00,2015-11-04 12:03:00,2015-11-04 12:06:00,12445,M,False
