ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
0.086986422,0.1653309,0.843306194,0.96245768,0.918147247,0.811115528,0.016867678
0.106780538,0.126241209,0.916399308,0.94175379,0.930826974,0.895625797,0.026933792
0.177603897,0.108657712,0.801892809,0.879486278,0.823609047,0.810224379,0.057423979
0.108459491,0.161522293,0.728190464,0.826352851,0.815502461,0.742679762,0.179090694
0.079434035,0.095268723,0.690852768,0.737872909,0.918676117,0.694303593,0.205013795
0.1014254,0.102901971,0.67885333,0.696575566,0.946815643,0.634213517,0.246798709
0.196843392,0.152058269,0.689139553,0.753935041,0.923026664,0.685528564,0.363360646
0.193570059,0.18555286,0.555052406,0.793683372,0.827373458,0.731141903,0.398951841
0.231619996,0.298376755,0.540666727,0.676114794,0.787017979,0.765783758,0.451800069
0.269038384,0.383025071,0.543202595,0.582357782,0.820911898,0.897079951,0.476214746
0.283530995,0.301869987,0.539403603,0.484964909,0.737079107,0.808958951,0.534949141
0.317838223,0.321603346,0.628463394,0.474212124,0.721291493,0.830850559,0.535090009
0.375955528,0.247847338,0.452264622,0.450879941,0.664325478,0.679214938,0.508669927
0.509757285,0.366069942,0.454212842,0.469574436,0.684279065,0.765148777,0.625507671
0.482569787,0.46822963,0.44372874,0.423515512,0.75279651,0.601056932,0.682622637
0.510258045,0.582303198,0.418286754,0.400731749,0.696493891,0.381656362,0.680502602
0.600019192,0.67383517,0.369834923,0.33754092,0.589831277,0.366265293,0.760365736
0.700588766,0.873764577,0.239037814,0.255236321,0.608045872,0.469589456,0.91825563
0.739307374,0.806115865,0.252447288,0.136455619,0.563108768,0.613236714,0.925476945
0.771310758,0.784294536,0.291561991,0.115583215,0.492423082,0.407848374,0.966450135
0.874658318,0.889096283,0.284261734,0.138576722,0.36627652,0.252020552,0.976119415
0.887982106,0.936109178,0.265608218,0.043335986,0.216262428,0.149994418,0.861740043
0.91410431,0.964958342,0.11001924,0.131711549,0.094395252,0.294523764,0.831089227
0.911373624,0.956003023,0.109504114,0.153642817,0.04921858,0.35519798,0.815546061
