,hec_id,time_start,time_peak,time_end,nar,lat_hg,long_hg,long_carr,xray_class,optical_class,is_coincident
15289,20733832,2021-02-25 09:31:00,2021-02-25 09:39:00,2021-02-25 09:46:00,12804.0,,,,B,,True
15292,20733835,2021-02-25 14:01:00,2021-02-25 14:06:00,2021-02-25 14:08:00,12804.0,,,,B,,True
15295,20733838,2021-02-26 01:25:00,2021-02-26 01:35:00,2021-02-26 01:37:00,12804.0,,,,B,,True
15297,20733840,2021-02-26 04:41:00,2021-02-26 04:47:00,2021-02-26 06:17:00,12804.0,,,,B,,True
15530,20734073,2021-04-26 04:09:00,2021-04-26 04:18:00,2021-04-26 04:34:00,12820.0,,,,B,,True
4250,72801,2012-06-28 16:03:00,2012-06-28 16:06:00,2012-06-28 16:08:00,11513.0,16.0,-46.0,220.7,B, SF,True
15790,20734333,2021-05-30 20:47:00,2021-05-30 20:53:00,2021-05-30 21:00:00,12827.0,,,,B,,True
5209,73760,2012-11-23 19:36:00,2012-11-23 19:42:00,2012-11-23 19:44:00,11618.0,,,,C,,True
6083,74634,2013-05-01 15:47:00,2013-05-01 16:12:00,2013-05-01 21:33:00,11731.0,11.0,8.0,184.7,C, SF,True
8234,20726777,2014-04-14 08:57:00,2014-04-14 09:00:00,2014-04-14 09:02:00,12036.0,,,,C,,True
8235,20726778,2014-04-14 08:57:00,2014-04-14 09:00:00,2014-04-14 09:02:00,12036.0,,,,C,,True
8248,20726791,2014-04-15 06:31:00,2014-04-15 06:36:00,2014-04-15 06:42:00,12036.0,,,,C,,True
15241,20733784,2021-01-21 12:34:00,2021-01-21 12:47:00,2021-01-21 12:50:00,12798.0,,,,B,,True
14848,20733391,2020-10-29 04:14:00,2020-10-29 04:19:00,2020-10-29 04:23:00,12779.0,,,,B,,True
14854,20733397,2020-10-29 09:25:00,2020-10-29 09:34:00,2020-10-29 09:39:00,12779.0,,,,B,,True
14858,20733401,2020-10-29 11:18:00,2020-10-29 11:26:00,2020-10-29 11:30:00,12779.0,,,,B,,True
16044,20734587,2021-07-15 23:08:00,2021-07-15 23:17:00,2021-07-15 23:18:00,12843.0,,,,B,,True
16051,20734594,2021-07-16 03:39:00,2021-07-16 03:48:00,2021-07-16 03:52:00,12843.0,,,,B,,True
16053,20734596,2021-07-16 04:34:00,2021-07-16 04:42:00,2021-07-16 04:49:00,12843.0,,,,B,,True
16064,20734607,2021-07-16 15:51:00,2021-07-16 16:00:00,2021-07-16 16:09:00,12843.0,,,,B,,True
16085,20734628,2021-07-18 03:35:00,2021-07-18 03:53:00,2021-07-18 04:05:00,12843.0,,,,B,,True
15469,20734012,2021-04-22 04:10:00,2021-04-22 04:35:00,2021-04-22 05:00:00,12816.0,-25.0,6.0,261.1,C, 1F,True
15587,20734130,2021-05-09 00:27:00,2021-05-09 00:44:00,2021-05-09 01:00:00,12822.0,,,,B,,True
15588,20734131,2021-05-09 01:00:00,2021-05-09 01:09:00,2021-05-09 01:12:00,12822.0,,,,B,,True
15591,20734134,2021-05-09 05:42:00,2021-05-09 05:47:00,2021-05-09 05:55:00,12822.0,,,,B,,True
15603,20734146,2021-05-11 03:10:00,2021-05-11 03:28:00,2021-05-11 03:55:00,12822.0,,,,B,,True
15606,20734149,2021-05-11 06:21:00,2021-05-11 06:39:00,2021-05-11 06:42:00,12822.0,,,,B,,True
15607,20734150,2021-05-11 06:42:00,2021-05-11 07:01:00,2021-05-11 07:04:00,12822.0,,,,B,,True
16010,20734553,2021-07-09 02:29:00,2021-07-09 02:34:00,2021-07-09 02:40:00,12840.0,,,,B,,True
16012,20734555,2021-07-09 04:36:00,2021-07-09 04:40:00,2021-07-09 04:43:00,12840.0,,,,B,,True
16014,20734557,2021-07-09 07:08:00,2021-07-09 07:16:00,2021-07-09 07:30:00,12840.0,,,,B,,True
16017,20734560,2021-07-09 11:46:00,2021-07-09 11:58:00,2021-07-09 12:07:00,12840.0,,,,B,,True
16019,20734562,2021-07-09 13:08:00,2021-07-09 13:19:00,2021-07-09 13:32:00,12840.0,,,,B,,True
16021,20734564,2021-07-09 14:20:00,2021-07-09 14:38:00,2021-07-09 14:47:00,12840.0,,,,B,,True
16390,20734933,2021-09-14 03:24:00,2021-09-14 03:30:00,2021-09-14 03:37:00,12868.0,,,,B,,True
15960,20734503,2021-07-03 16:52:00,2021-07-03 16:55:00,2021-07-03 16:59:00,12838.0,,,,B,,True
16367,20734910,2021-09-09 16:58:00,2021-09-09 17:08:00,2021-09-09 17:10:00,12866.0,,,,B,,True
10783,20729326,2015-07-07 03:46:00,2015-07-07 03:53:00,2015-07-07 03:58:00,12381.0,,,,C,,True
9918,20728461,2015-02-08 10:31:00,2015-02-08 10:36:00,2015-02-08 10:39:00,12280.0,-8.0,17.0,282.8,C, 1F,True
14778,20733321,2020-10-14 09:15:00,2020-10-14 09:22:00,2020-10-14 09:35:00,12776.0,,,,B,,True
14799,20733342,2020-10-19 04:39:00,2020-10-19 04:46:00,2020-10-19 04:52:00,12776.0,,,,B,,True
15125,20733668,2020-12-09 00:23:00,2020-12-09 00:33:00,2020-12-09 00:40:00,12791.0,,,,B,,True
15129,20733672,2020-12-10 10:41:00,2020-12-10 10:50:00,2020-12-10 10:55:00,12791.0,,,,B,,True
15130,20733673,2020-12-10 10:55:00,2020-12-10 11:00:00,2020-12-10 11:01:00,12791.0,,,,B,,True
15132,20733675,2020-12-10 12:47:00,2020-12-10 12:57:00,2020-12-10 13:03:00,12791.0,,,,B,,True
14731,20733274,2020-08-05 23:52:00,2020-08-05 23:59:00,2020-08-06 00:07:00,12770.0,,,,B,,True
12243,20730786,2016-04-29 13:27:00,2016-04-29 13:31:00,2016-04-29 13:34:00,12537.0,-6.0,77.0,215.5,B, SF,True
15903,20734446,2021-06-26 11:36:00,2021-06-26 11:46:00,2021-06-26 11:53:00,12833.0,,,,B,,True
14997,20733540,2020-11-12 16:08:00,2020-11-12 16:16:00,2020-11-12 16:29:00,12782.0,,,,B,,True
15037,20733580,2020-11-22 20:11:00,2020-11-22 20:19:00,2020-11-22 20:30:00,12785.0,,,,B,,True
15043,20733586,2020-11-24 04:10:00,2020-11-24 05:17:00,2020-11-24 05:33:00,12785.0,,,,C,,True
15380,20733923,2021-04-12 19:43:00,2021-04-12 19:53:00,2021-04-12 19:56:00,12814.0,,,,B,,True
15382,20733925,2021-04-12 22:38:00,2021-04-12 22:49:00,2021-04-12 22:57:00,12814.0,-21.0,-11.0,6.0,B, SF,True
16073,20734616,2021-07-17 16:03:00,2021-07-17 16:08:00,2021-07-17 16:12:00,12845.0,,,,B,,True
15019,20733562,2020-11-20 16:11:00,2020-11-20 16:27:00,2020-11-20 16:44:00,12783.0,,,,B,,True
16392,20734935,2021-09-14 04:14:00,2021-09-14 04:21:00,2021-09-14 04:25:00,12869.0,,,,B,,True
4149,72700,2012-06-12 02:13:00,2012-06-12 02:17:00,2012-06-12 02:20:00,11506.0,,,,C,,True
4150,72701,2012-06-12 02:13:00,2012-06-12 02:17:00,2012-06-12 02:20:00,11506.0,,,,C,,True
17078,20735621,2021-12-14 23:12:00,2021-12-14 23:25:00,2021-12-14 23:44:00,12907.0,-21.0,-45.0,-38.0,C, SF,True
17089,20735632,2021-12-15 10:04:00,2021-12-15 10:10:00,2021-12-15 10:13:00,12907.0,-21.0,-44.0,-43.0,C, SF,True
17090,20735633,2021-12-15 10:13:00,2021-12-15 10:22:00,2021-12-15 10:31:00,12907.0,-21.0,-44.0,-43.1,C, SF,True
17163,20735706,2021-12-22 10:04:00,2021-12-22 10:11:00,2021-12-22 10:14:00,12907.0,-22.0,38.0,306.8,C, SF,True
18435,20736978,2022-05-16 20:40:00,2022-05-16 20:47:00,2022-05-16 20:58:00,13014.0,22.0,-44.0,107.2,C, SF,True
