,TOTUSJH,TOTUSJZ,SAVNCPP,USFLUX,ABSNJZH,TOTPOT,SIZE_ACR,NACR,MEANPOT,SIZE,MEANJZH,SHRGT45,MEANSHR,MEANJZD,MEANALP,MEANGBT,MEANGAM,MEANGBZ,MEANGBH,R_VALUE,T_REC,DATE
hmi.sharp_cea_720s[377][2011.02.10_22:00:00_TAI],13.379,334874900000.0,545741300000.0,1.183817e+20,3.948,1.149526e+21,6.502838,76,4285.041,69.819946,-0.0195431,30.198,41.242,-2.14631081,-0.06452928,161.482,41.254,173.723,67.057,2.42,2011.02.10_22:00:00_TAI,15015.916666666666
hmi.sharp_cea_720s[377][2011.02.10_22:12:00_TAI],21.445,695775800000.0,518033300000.0,2.232161e+20,3.929,1.912819e+21,8.898783,104,3006.948,147.343307,-0.00820353,30.063,38.238,2.11201334,-0.03945901,136.757,46.261,147.271,65.668,2.452,2011.02.10_22:12:00_TAI,15015.925
hmi.sharp_cea_720s[377][2011.02.10_22:24:00_TAI],34.296,936654900000.0,370002500000.0,3.60597e+20,2.748,2.957716e+21,19.765945,231,3168.025,205.788315,-0.00390944,25.32,35.489,0.35530975,-0.01738754,130.986,43.452,135.878,61.324,2.57,2011.02.10_22:24:00_TAI,15015.933333333332
hmi.sharp_cea_720s[377][2011.02.10_22:36:00_TAI],38.727,964750000000.0,183323000000.0,4.502249e+20,2.97,3.496788e+21,24.130249,282,3218.87,225.643509,-0.00363102,26.528,35.179,0.22789823,-0.01437487,135.993,41.39,137.913,60.274,2.813,2011.02.10_22:36:00_TAI,15015.941666666668
hmi.sharp_cea_720s[377][2011.02.10_22:48:00_TAI],40.844,935984600000.0,250147400000.0,4.832752e+20,3.803,3.246776e+21,26.013203,304,2866.096,240.365402,-0.00445845,21.102,32.568,0.31861639,-0.01709522,134.046,39.13,137.802,57.874,2.692,2011.02.10_22:48:00_TAI,15015.95
hmi.sharp_cea_720s[377][2011.02.10_23:00:00_TAI],38.527,878512400000.0,507484700000.0,4.758791e+20,7.138,2.831299e+21,27.55407,322,2722.773,251.152771,-0.00911612,15.198,29.898,-0.27914941,-0.03219548,140.235,35.737,144.024,56.245,2.685,2011.02.10_23:00:00_TAI,15015.958333333334
hmi.sharp_cea_720s[377][2011.02.10_23:12:00_TAI],38.748,910470500000.0,266124600000.0,5.002329e+20,4.505,2.90761e+21,29.009457,339,2566.697,261.855286,-0.00528179,17.116,30.448,-0.01331441,-0.01950082,128.882,36.906,134.14,53.283,2.669,2011.02.10_23:12:00_TAI,15015.966666666667
hmi.sharp_cea_720s[377][2011.02.10_23:24:00_TAI],47.043,1042367000000.0,482681300000.0,5.813284e+20,5.592,3.231017e+21,33.288803,389,2630.178,279.317871,-0.00604548,12.865,28.084,0.34644091,-0.02020796,138.494,34.212,143.818,55.508,2.813,2011.02.10_23:24:00_TAI,15015.975
hmi.sharp_cea_720s[377][2011.02.10_23:36:00_TAI],45.65,1028669000000.0,451131300000.0,5.594072e+20,5.196,3.298358e+21,33.460911,391,2854.737,289.424042,-0.0059724,12.644,28.565,0.32135862,-0.01914066,144.879,34.138,150.744,59.14,2.789,2011.02.10_23:36:00_TAI,15015.983333333334
hmi.sharp_cea_720s[377][2011.02.10_23:48:00_TAI],42.243,886903200000.0,409557500000.0,5.52402e+20,5.553,2.994738e+21,33.376049,390,2850.821,299.357483,-0.0070199,9.102,26.087,-0.03325586,-0.02010115,156.611,31.066,159.077,61.475,2.782,2011.02.10_23:48:00_TAI,15015.991666666667
hmi.sharp_cea_720s[377][2011.02.11_00:00:00_TAI],45.369,986980500000.0,540045100000.0,5.874946e+20,5.887,3.272367e+21,33.376785,390,2722.708,306.724091,-0.00650513,11.16,27.312,-0.76932925,-0.02059714,150.011,32.869,151.126,59.447,2.82,2011.02.11_00:00:00_TAI,15016.0
hmi.sharp_cea_720s[377][2011.02.11_00:12:00_TAI],46.803,1101201000000.0,580747000000.0,5.948712e+20,7.107,3.820179e+21,33.805725,395,2856.55,309.386566,-0.00705728,19.166,31.431,0.04232431,-0.02518516,133.77,37.656,138.501,56.381,2.784,2011.02.11_00:12:00_TAI,15016.008333333333
hmi.sharp_cea_720s[377][2011.02.11_00:24:00_TAI],54.591,1298702000000.0,825101000000.0,6.547703e+20,10.138,4.288014e+21,33.549618,392,2603.885,314.869995,-0.00817587,23.306,34.397,0.21998641,-0.03463018,117.716,39.665,123.844,49.915,0.0,2011.02.11_00:24:00_TAI,15016.016666666666
hmi.sharp_cea_720s[377][2011.02.11_00:36:00_TAI],46.625,1142480000000.0,212028200000.0,6.10249e+20,1.037,3.846206e+21,33.379234,390,2661.896,317.01712,0.00095319,21.507,33.223,-0.38046467,0.00371061,130.021,37.531,132.958,53.854,0.0,2011.02.11_00:36:00_TAI,15016.025
hmi.sharp_cea_720s[377][2011.02.11_00:48:00_TAI],44.466,1046483000000.0,49074800000.0,5.957412e+20,4.321,3.897314e+21,32.010849,374,2784.276,320.365265,0.0040996,24.478,34.023,-0.02403991,0.01566355,129.158,38.436,130.081,53.811,0.0,2011.02.11_00:48:00_TAI,15016.033333333333
