,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
0,0.008339209,0.015097284,0.071187959,0.081106769,0.057572267,0.055391732,0.001293054
1,0.01023683,0.011527787,0.077358138,0.079362042,0.058367347,0.061163007,0.002064708
2,0.01702652,0.00992214,0.067692035,0.074114729,0.051644265,0.055330875,0.004402045
3,0.010397788,0.014749499,0.061470429,0.06963715,0.051135943,0.050718199,0.013728852
4,0.007615177,0.008699517,0.058318555,0.062180903,0.05760543,0.047414551,0.015716082
5,0.009723444,0.009396551,0.057305619,0.058700756,0.059369914,0.043310952,0.018919258
6,0.01887097,0.013885286,0.058173934,0.063534466,0.05787823,0.046815297,0.027854739
7,0.018557163,0.016943863,0.046854925,0.066884077,0.051880312,0.049930269,0.030583112
8,0.022204932,0.02724644,0.045640553,0.056976517,0.049349829,0.052295989,0.034634386
9,0.025792155,0.034976149,0.045854619,0.049075569,0.051475141,0.061262312,0.036505983
10,0.027181532,0.027565427,0.045533926,0.040868225,0.04621842,0.055244458,0.041008483
11,0.030470495,0.02936739,0.053051936,0.039962082,0.04522846,0.056739453,0.041019281
12,0.036042082,0.022632318,0.038178061,0.037995868,0.041656416,0.046384135,0.038993953
13,0.04886938,0.033427882,0.038342521,0.039571262,0.042907602,0.052252626,0.047950578
14,0.046262971,0.042756651,0.037457502,0.035689855,0.047203977,0.041046662,0.052328935
15,0.048917387,0.053173343,0.035309809,0.033769856,0.043673531,0.02606362,0.052166415
16,0.057522603,0.061531636,0.031219732,0.028444735,0.03698527,0.025012552,0.058288616
17,0.067164001,0.079788302,0.020178453,0.021508887,0.038127413,0.032068642,0.070392243
18,0.070875874,0.073610922,0.021310418,0.01149918,0.03530964,0.041878429,0.07094582
19,0.073943973,0.071618295,0.024612298,0.009740253,0.030877306,0.027852294,0.074086769
20,0.08385169,0.081188325,0.023996044,0.011677927,0.022967307,0.017210686,0.074828003
21,0.085129015,0.085481334,0.022421402,0.003651944,0.013560699,0.01024324,0.066059834
22,0.087633296,0.088115711,0.009287309,0.011099395,0.005919038,0.020113265,0.063710184
23,0.087371511,0.087297951,0.009243824,0.012947554,0.003086243,0.024256756,0.062518666
