ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
0.063644573,0.320612016,0.84396315,0.968278237,0.983063281,0.730662289,0.013009625
0.069566054,0.220654566,0.881946959,0.944668738,0.954289099,0.879356455,0.050104212
0.100815882,0.124210859,0.816637609,0.955460506,0.903596598,0.81068017,0.045360689
0.069283183,0.229210237,0.667045275,0.926955451,0.828401354,0.840230059,0.073023359
0.049478885,0.204014169,0.676878983,0.886342836,0.839178848,0.853697334,0.184144911
0.072619236,0.424056987,0.702286319,0.827808356,0.812733426,0.689770124,0.322932263
0.142794407,0.370565391,0.728896279,0.76560493,0.763655843,0.709692871,0.456651535
0.171559977,0.386117429,0.634408374,0.748196527,0.65767635,0.620609356,0.4969652
0.200110469,0.598057611,0.6310641,0.71854739,0.670071601,0.667170133,0.540510857
0.251364281,0.592561002,0.627142953,0.661512918,0.727155989,0.742320144,0.503662801
0.278841111,0.456958768,0.607052551,0.605685592,0.717596027,0.570603907,0.521561927
0.329985981,0.539278995,0.554456148,0.546892668,0.738704371,0.52037365,0.549409869
0.388494577,0.438172487,0.524945661,0.502621604,0.692991105,0.471472273,0.577220391
0.467307191,0.534000715,0.529270788,0.506816837,0.708112018,0.552090279,0.633835851
0.457002674,0.556249216,0.44241334,0.465962879,0.761253537,0.650566793,0.677764278
0.540531905,0.534751459,0.490193369,0.441795077,0.716380013,0.587058623,0.704606906
0.63034754,0.633400049,0.501661803,0.358495896,0.679689648,0.451976648,0.786862059
0.696572883,0.799904931,0.386370262,0.307840038,0.661326327,0.488439661,0.917052903
0.743138282,0.825115058,0.307770559,0.243673197,0.539032419,0.512936311,0.919189376
0.802613667,0.774018226,0.290183761,0.202027665,0.46297193,0.483122155,0.955701114
0.889849773,0.755755699,0.242434496,0.151581342,0.347871721,0.303409833,0.975621809
0.911784964,0.766083672,0.277556076,0.073461938,0.190549739,0.108919091,0.913492183
0.955544476,0.597915758,0.157059926,0.048023291,0.060370549,0.119933412,0.936903932
0.950440935,0.467655906,0.109965641,0.026745788,0.020357942,0.168964732,0.963406646
