,time_start,time_peak,time_end,nar,xray_class
0,2010-05-05 17:13:00,2010-05-05 17:19:00,2010-05-05 17:22:00,11069,M1.2
1,2010-06-12 00:30:00,2010-06-12 00:57:00,2010-06-12 01:02:00,11081,M2.0
2,2010-06-13 05:30:00,2010-06-13 05:39:00,2010-06-13 05:44:00,11079,M1.0
3,2010-08-07 17:55:00,2010-08-07 18:24:00,2010-08-07 18:47:00,11093,M1.0
4,2010-10-16 19:07:00,2010-10-16 19:12:00,2010-10-16 19:15:00,11112,M2.9
5,2010-11-04 23:30:00,2010-11-04 23:58:00,2010-11-05 00:12:00,11121,M1.6
6,2010-11-05 12:43:00,2010-11-05 13:29:00,2010-11-05 14:06:00,11121,M1.0
7,2010-11-06 15:27:00,2010-11-06 15:36:00,2010-11-06 15:44:00,11121,M5.4
8,2011-01-28 00:44:00,2011-01-28 01:03:00,2011-01-28 01:10:00,11149,M1.3
9,2011-02-09 01:23:00,2011-02-09 01:31:00,2011-02-09 01:35:00,11153,M1.9
10,2011-02-13 17:28:00,2011-02-13 17:38:00,2011-02-13 17:47:00,11158,M6.6
11,2011-02-14 17:20:00,2011-02-14 17:26:00,2011-02-14 17:32:00,11158,M2.2
12,2011-02-15 01:44:00,2011-02-15 01:56:00,2011-02-15 02:06:00,11158,X2.2
13,2011-02-16 07:35:00,2011-02-16 07:44:00,2011-02-16 07:55:00,11161,M1.1
14,2011-02-16 14:19:00,2011-02-16 14:25:00,2011-02-16 14:29:00,11158,M1.6
15,2011-02-18 09:55:00,2011-02-18 10:11:00,2011-02-18 10:15:00,11158,M6.6
16,2011-02-18 10:23:00,2011-02-18 10:26:00,2011-02-18 10:37:00,11162,M1.0
17,2011-02-18 12:59:00,2011-02-18 13:03:00,2011-02-18 13:06:00,11158,M1.4
18,2011-02-18 14:00:00,2011-02-18 14:08:00,2011-02-18 14:15:00,11162,M1.0
19,2011-02-18 20:56:00,2011-02-18 21:04:00,2011-02-18 21:14:00,11162,M1.3
20,2011-02-24 07:23:00,2011-02-24 07:35:00,2011-02-24 07:42:00,11163,M3.5
21,2011-02-28 12:38:00,2011-02-28 12:52:00,2011-02-28 13:03:00,11164,M1.1
22,2011-03-07 05:00:00,2011-03-07 05:13:00,2011-03-07 05:19:00,11164,M1.2
23,2011-03-07 07:49:00,2011-03-07 07:54:00,2011-03-07 07:56:00,11165,M1.5
24,2011-03-07 07:59:00,2011-03-07 08:07:00,2011-03-07 08:15:00,11164,M1.4
25,2011-03-07 09:14:00,2011-03-07 09:20:00,2011-03-07 09:28:00,11164,M1.8
26,2011-03-07 13:45:00,2011-03-07 14:30:00,2011-03-07 14:56:00,11166,M1.9
27,2011-03-07 19:43:00,2011-03-07 20:12:00,2011-03-07 20:58:00,11164,M3.7
28,2011-03-07 21:45:00,2011-03-07 21:50:00,2011-03-07 21:55:00,11165,M1.5
29,2011-03-08 02:24:00,2011-03-08 02:29:00,2011-03-08 02:32:00,11165,M1.3
30,2011-03-08 03:37:00,2011-03-08 03:58:00,2011-03-08 04:20:00,11171,M1.5
31,2011-03-08 10:35:00,2011-03-08 10:44:00,2011-03-08 10:55:00,11165,M5.3
32,2011-03-08 18:08:00,2011-03-08 18:28:00,2011-03-08 18:41:00,11165,M4.4
33,2011-03-08 19:46:00,2011-03-08 20:16:00,2011-03-08 21:19:00,11165,M1.4
34,2011-03-09 10:35:00,2011-03-09 11:07:00,2011-03-09 11:21:00,11166,M1.7
35,2011-03-09 13:17:00,2011-03-09 14:02:00,2011-03-09 14:13:00,11166,M1.7
36,2011-03-09 23:13:00,2011-03-09 23:23:00,2011-03-09 23:29:00,11166,X1.5
37,2011-03-12 04:33:00,2011-03-12 04:43:00,2011-03-12 04:48:00,11166,M1.3
38,2011-03-14 19:30:00,2011-03-14 19:52:00,2011-03-14 19:54:00,11169,M4.2
39,2011-03-15 00:18:00,2011-03-15 00:22:00,2011-03-15 00:24:00,11169,M1.0
40,2011-03-23 02:03:00,2011-03-23 02:17:00,2011-03-23 02:24:00,11176,M1.4
41,2011-03-24 12:01:00,2011-03-24 12:07:00,2011-03-24 12:11:00,11176,M1.0
42,2011-03-25 23:08:00,2011-03-25 23:22:00,2011-03-25 23:30:00,11176,M1.0
43,2011-04-15 17:02:00,2011-04-15 17:12:00,2011-04-15 17:28:00,11190,M1.3
44,2011-04-22 04:35:00,2011-04-22 04:57:00,2011-04-22 05:14:00,11195,M1.8
45,2011-04-22 15:47:00,2011-04-22 15:53:00,2011-04-22 16:11:00,11195,M1.2
46,2011-05-28 21:09:00,2011-05-28 21:50:00,2011-05-28 22:01:00,11226,M1.1
47,2011-05-29 10:08:00,2011-05-29 10:33:00,2011-05-29 11:08:00,11226,M1.4
48,2011-06-07 06:16:00,2011-06-07 06:41:00,2011-06-07 06:59:00,11226,M2.5
49,2011-06-14 21:36:00,2011-06-14 21:47:00,2011-06-14 22:10:00,11236,M1.3
50,2011-07-27 15:48:00,2011-07-27 16:07:00,2011-07-27 16:22:00,11260,M1.1
51,2011-07-30 02:04:00,2011-07-30 02:09:00,2011-07-30 02:12:00,11261,M9.3
52,2011-08-02 05:19:00,2011-08-02 06:19:00,2011-08-02 06:48:00,11261,M1.4
53,2011-08-03 03:08:00,2011-08-03 03:37:00,2011-08-03 03:51:00,11261,M1.1
54,2011-08-03 04:29:00,2011-08-03 04:32:00,2011-08-03 04:35:00,11263,M1.7
55,2011-08-03 13:17:00,2011-08-03 13:48:00,2011-08-03 14:10:00,11261,M6.0
56,2011-08-04 03:41:00,2011-08-04 03:57:00,2011-08-04 04:04:00,11261,M9.3
