ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
0.087890476,0.494885374,0.813356182,0.973897452,0.965471697,0.707253398,0.008576411
0.084638353,0.359261994,0.870450376,0.932666219,0.934462426,0.845985991,0.037193551
0.113385801,0.156557875,0.802079226,0.950229138,0.893893492,0.804955631,0.038298246
0.073225063,0.180512485,0.670819262,0.913083259,0.822616822,0.799552089,0.068497748
0.048893445,0.230934512,0.683237303,0.858454324,0.864653145,0.837681643,0.167361365
0.0866369,0.330677453,0.70686148,0.794458655,0.842736963,0.751910511,0.27789726
0.150163646,0.260339008,0.714834681,0.740938151,0.781130895,0.812655892,0.391617886
0.185319844,0.263834617,0.592060153,0.71957737,0.641070062,0.784512087,0.436228947
0.22258409,0.412299851,0.588362422,0.692894093,0.653808072,0.835906162,0.467235988
0.270836193,0.440327321,0.59908675,0.628343099,0.740437597,0.886483375,0.449145442
0.302636048,0.318793715,0.566020597,0.571292193,0.748013176,0.68336141,0.457226104
0.339863151,0.344120912,0.528164199,0.503139314,0.782990412,0.694375556,0.47439395
0.401180931,0.252540358,0.521723377,0.458847228,0.724570849,0.616760703,0.501949498
0.476778449,0.381609866,0.517822233,0.472597887,0.762508767,0.694295181,0.55646401
0.466803975,0.44675397,0.430328386,0.447211337,0.853454716,0.702929316,0.597762779
0.549652589,0.478332547,0.477006029,0.427102123,0.793962972,0.589565828,0.632650121
0.641661479,0.554759675,0.484608799,0.333183565,0.750618141,0.433219137,0.703740035
0.704501498,0.767600123,0.361861685,0.280213217,0.729293212,0.483941864,0.807261801
0.743587753,0.829191003,0.275909016,0.215646799,0.579210658,0.492239008,0.825978943
0.802946067,0.829913709,0.235413083,0.183055494,0.493433398,0.470741975,0.873219348
0.892413872,0.888067336,0.203376836,0.129693536,0.345221603,0.277337291,0.906804511
0.907518933,0.931312559,0.226370513,0.041458317,0.152060558,0.108033489,0.880369654
0.947288812,0.833636051,0.112667023,0.050811942,0.052665792,0.130639248,0.938008862
0.944703337,0.792490907,0.058211907,0.03359354,0.046257747,0.178832194,0.984331417
