,USFLUX,MEANGAM,MEANGBT,MEANJZD,MEANJZH,ABSNJZH,R_VALUE,xray_class
0,7.0375e+21,28.1,67.8125,0.011412499999999999,0.000266,17.67125,3.3550000000000004,C
1,7.455925925925927e+21,27.477777777777774,72.55925925925925,0.030847037037037034,0.0005843703703703704,31.41,3.2837037037037042,B
2,7.129183673469388e+21,27.27755102040816,72.52448979591837,-0.02528020408163265,0.0007448448979591838,27.681306122448976,3.1393877551020406,B
3,6.907350427350428e+21,25.012820512820518,73.48547008547008,-0.15618179487179487,-0.0010143478632478632,18.155794871794868,2.786239316239316,B
4,6.949072164948454e+21,24.61855670103093,73.87731958762886,-0.17047701030927837,-0.001520464948453608,17.33921649484536,2.7537113402061864,B
5,5.683146321243524e+21,24.979274611398964,77.86088082901556,-0.12404110362694301,-0.0012018637305699481,14.314746113989639,1.5829015544041452,B
6,5.589814715025906e+21,25.012694300518135,78.29559585492228,-0.11797685492227979,-0.0012458124352331607,14.200569948186528,1.5372279792746113,B
7,5.464244766839378e+21,25.078497409326424,79.09455958549223,-0.111975896373057,-0.0013329056994818653,14.17598445595855,1.4771502590673578,B
8,5.231233195876289e+21,25.216752577319593,80.36546391752579,-0.09928323711340206,-0.0014332773195876287,13.904329896907214,1.3962113402061855,B
9,5.168818714652956e+21,25.24498714652956,80.71953727506427,-0.09846040102827762,-0.0014435182519280203,13.819161953727507,1.3764781491002571,B
10,4.5971171171171166e+20,27.44324324324324,108.6036036036036,0.29493873873873866,-0.004174639639639639,3.1860612612612607,0.033873873873873875,B
11,5.036083333333334e+20,29.385,110.77166666666668,0.28781341666666665,-0.005369233333333333,4.538991666666666,0.49116666666666664,B
12,5.756666666666667e+20,31.05916666666667,111.82166666666667,0.02345241666666666,-0.005236675,5.1288,0.7476666666666667,B
13,2.8008424437299036e+21,30.63729903536978,97.79710610932476,0.03328731189710612,-0.0038903234726688106,9.699009003215433,1.4851125401929262,B
14,1.0664666666666666e+21,34.10916666666666,116.88333333333334,-0.15679433333333334,-0.0065050083333333345,13.85755,1.6465,B
15,1.140375e+21,34.31916666666666,117.4,-0.16670266666666667,-0.0068145083333333335,15.8028,1.7416666666666667,B
16,1.392775e+21,35.060833333333335,118.2,-0.19754933333333333,-0.007479925,22.863133333333334,1.9996666666666665,B
17,1.7402250000000004e+21,35.73083333333333,119.16666666666667,-0.23990683333333337,-0.008791341666666667,35.93355,2.2235833333333335,C
18,2.642225080385852e+21,31.705787781350484,105.15337620578777,0.03645780707395498,-0.006602407073954983,28.618365916398712,1.5687138263665594,B
19,3.871466666666667e+21,38.315000000000005,118.70833333333333,-0.20464050000000003,-0.016826083333333335,130.09849166666666,3.133333333333333,B
20,5.645500000000002e+21,39.26,116.25,-0.08152466666666666,-0.023384583333333334,211.9633333333333,3.9276666666666666,C
21,6.056833333333332e+21,39.480000000000004,114.76666666666667,-0.04817966666666667,-0.024608583333333333,232.05083333333332,3.9875833333333333,B
22,6.868083333333333e+21,40.02333333333333,111.72,-0.021297833333333335,-0.026676666666666668,269.2125,4.1009166666666665,C
23,7.190252100840336e+21,40.2016806722689,110.57815126050421,-0.01908033613445378,-0.02736050420168068,285.0,4.126470588235295,B
24,7.597281553398058e+21,40.12427184466019,109.14368932038836,0.0023770873786407745,-0.0284106796116505,306.7281553398058,4.15126213592233,B
25,8.137983193277309e+21,40.24033613445379,106.50084033613446,-0.0008173109243697503,-0.02783025210084034,320.8235294117647,4.165798319327731,M
26,7.838351648351648e+21,39.85934065934066,108.23956043956044,0.017896043956043956,-0.028601098901098906,315.8021978021978,4.170769230769231,B
27,4.816666666666666e+21,26.066666666666663,115.33333333333333,-0.13360000000000002,-0.003703333333333333,27.750000000000004,0.0,B
28,5.120909090909093e+21,24.972727272727273,101.60649350649352,-0.15088688311688309,-0.001822623376623377,14.867792207792204,0.13103896103896104,B
29,4.708833333333333e+21,22.48166666666667,85.56833333333334,-0.18078483333333334,-0.0019181666666666665,14.997916666666667,0.0,B
30,4.1868055555555553e+21,21.70138888888889,78.53333333333333,-0.1534066666666667,-0.001812222222222222,12.680555555555555,0.0,B
31,3.471794871794872e+21,21.228205128205122,76.90512820512821,-0.13352000000000003,-0.0020356410256410253,12.106410256410255,0.0,B
32,6.068888888888889e+21,38.12222222222222,81.84537037037036,0.035366759259259264,-0.00022949490740740744,6.162795370370371,3.5174074074074073,B
33,6.06e+21,36.9,73.8,0.091,-0.000335,3.19,3.67,B
34,6.06e+21,36.9,73.8,0.091,-0.000335,3.19,3.67,B
35,4.1125641025641025e+21,44.414529914529915,122.82051282051282,-0.519388205128205,-0.015906837606837608,95.61367521367521,3.3965811965811965,B
36,4.278547008547009e+21,44.270085470085476,120.84273504273504,-0.5047984615384614,-0.015823931623931625,98.06239316239318,3.511282051282051,B
37,5.441e+21,42.45333333333333,108.13833333333334,-0.3235618333333334,-0.013317916666666667,100.70333333333335,3.6915,B
38,5.915666666666667e+21,41.58583333333333,103.74833333333335,-0.2882201666666667,-0.011602666666666667,94.67583333333332,3.64725,B
39,1.649705882352941e+21,22.04705882352941,95.62352941176471,-0.643264705882353,0.0022996176470588235,5.828117647058824,0.0,M
40,6.294416666666667e+21,40.77666666666666,100.54583333333333,-0.2741201666666667,-0.010734166666666666,92.56,3.6224166666666666,B
41,6.427310924369748e+21,40.370588235294115,99.46050420168065,-0.27325563025210087,-0.010371176470588238,91.41932773109244,3.594117647058824,C
42,6.631414141414141e+21,39.76464646464647,97.56363636363636,-0.3083646464646465,-0.009358282828282828,85.53434343434343,3.5415151515151515,B
