,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,297.7001360370789,1033.266876874563,43.37798237922901,51.401994684755756,93.44417053534096,100.44527400913196,0.022041606924967698,0.0001201969285789,8222.293473653022,36.2544460389545,4.245740015981172,12042410971068.785,29.805712639801353,5.207796439828516e+23,2001.6769477424477,36954528407554.55,2.712772001382666e+22,246.85569792539326,34918.26524133133,20.79952799226261
C,325.89576592449293,1128.2371298685753,43.60733976982836,51.815957244435964,93.57676216726543,100.8765516507072,0.02755147608533645,0.000229050948073,8435.464141380458,36.52835234077464,4.305447526364727,13113135194148.871,30.262264012006813,5.698871894109682e+23,2193.671871265048,40409070354878.625,2.922887101946692e+22,258.650302504849,39299.12198354994,20.830510826613562
M,341.6046887490292,1162.904258145776,43.69205712299506,51.916630587471985,93.47534582138364,100.92351577291723,0.02751923515384025,0.0001211766491906,8564.188980528139,36.62732477854071,4.327242559245458,13627549993564.357,30.454342590467988,5.954352899693298e+23,2279.4503826524733,41774521050462.96,3.018920761402677e+22,260.18630032044246,42533.28288849105,20.657052622559984
X,344.0868881101618,1167.4606354954603,43.70404686229996,51.91189237026459,93.4439641057278,100.91218360570836,0.027709236264568102,0.0001229223431732,8580.800741686302,36.642370394226134,4.3295483846077865,13705417453849.95,30.483073964345323,5.99005383297013e+23,2289.152673541765,41927060307326.44,3.029433757072045e+22,260.1468732243259,43086.65124621586,20.62014321385594
