,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,1.0595842067408376,1.6604613804547816,0.04636681989419603,0.10985239068188171,0.2647159449004386,0.18303088559806818,0.0031950032262392683,2.4754929495701826e-05,12.713633312949545,0.036087736812469386,0.007078558602982863,65796498487.159966,0.0552878049607871,1.0632512693915816e+21,8.281782695639293,138385612059.4683,1.3200997342587027e+20,1.2673986595892484,160.2572051272122,0.17765208262225873
C,0.9823272287012342,2.210669918202243,0.04519806698551264,0.10467867988232527,0.26430857771220667,0.17587491487025936,0.003163867941365298,2.5904455028030254e-05,10.762519483053001,0.03550824468349859,0.007427195494797681,57962730817.7459,0.05340799263187237,1.5240428510729203e+21,9.703806062759934,165715860005.64407,1.583585939261789e+20,1.2315937800835328,165.8630519440367,0.1838202812125248
M,1.1367663654884135,1.9268797494230452,0.04759208042157434,0.10679526226038168,0.2600298127276579,0.16571410516749233,0.003115693799843126,2.8780676103389595e-05,10.944373106400915,0.036929774301613066,0.007144296651395636,63729161763.36724,0.0560635509989057,1.3484699265994426e+21,9.093984993447664,150304993897.5776,1.4301182332047925e+20,1.343602650142172,177.7990204620758,0.18678507363059127
X,1.1326339153078175,1.7738227145844707,0.04908893196060944,0.10891990809986685,0.26225184276613056,0.1674890492372796,0.0031412128225004896,2.7092398924175693e-05,11.359104084101181,0.03793237733528752,0.007106787226463859,62829674969.22165,0.057988116325464814,1.245012608734578e+21,8.71410084851002,142525635725.34753,1.3838758906757407e+20,1.3355763271006913,180.10847188661685,0.1855407914866385
