,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,0.9015573832554217,0.5705011959210008,0.09268242430048516,0.08529793596426412,0.12970604134614688,0.0933391825393421,0.002554351653615117,4.2812937446512835e-05,14.069610368335187,0.07037325415148243,0.0061124821700689145,39053914691.764,0.08256421708181048,1.0633737944141642e+21,1.941516601062677,46212608258.28987,2.4917211475983712e+19,0.5633876912340523,325.18814237624406,0.12192043364656573
C,0.8577345547317445,0.7711586890837807,0.08323180171309157,0.08599666957506744,0.145249103713536,0.10928873281528635,0.002444306481885236,4.4094277982398766e-05,12.658068873430805,0.06389349563933212,0.006311413210366377,39963693804.05288,0.07234647649156477,6.929189740054792e+20,2.0866532561835673,46659721850.86816,3.198626874340723e+19,0.5570195430144927,305.71694763643586,0.11770304092431151
M,1.0372919151439777,0.6335001565669748,0.08602934782855384,0.0948623341466351,0.15149867824366606,0.11259431848280814,0.0024861910778144337,4.383667079450878e-05,14.399116504176389,0.06578134017898868,0.006176063529552719,49102465946.23024,0.07488539197338484,9.055108358877638e+20,1.8442343730950281,45402431945.85958,2.421499423691121e+19,0.5442242726501392,337.7942034591647,0.11403432938602243
X,1.0717625687116548,0.6259651670492443,0.08597083601972298,0.09443172665704548,0.15014901813231227,0.11168304431025802,0.0025166757667356714,4.3609436710663504e-05,14.590303544061207,0.0659608999443357,0.006125000006354729,48900667484.95491,0.07527614748905342,9.029758209351688e+20,1.8385110914183649,45102090423.47408,2.44347701188033e+19,0.5498846859886067,338.49496588677016,0.1140644038395472
