,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,2.2368207888980263,3.201640874343831,0.14754930076986508,0.16675586315877938,0.2861507884531148,0.16969549563984562,0.004453724985716421,5.608141099297976e-05,12.42669814113211,0.08900949395371863,0.016773725028140934,125428207131.30481,0.12614796499853917,1.2222246049699558e+21,6.853988541703673,137698164795.06598,8.734085397493254e+19,1.9479548542128242,755.772132078326,0.34482409854997564
C,1.5310319924328404,6.253671892763275,0.10391455047077335,0.12541133170601013,0.2951596899102795,0.19276004790531168,0.004379518441121193,5.641294215244162e-05,15.254056570876234,0.06897155101137166,0.015891293271336263,66743579771.77155,0.08404068428248164,1.6809255413015768e+21,11.085561209270802,201110005583.95718,1.7607759761345085e+20,1.201150194346291,429.9008266346332,0.24681666462436966
M,0.9913304794885347,3.982062142195415,0.11153248928253623,0.15772859189937716,0.3169248977487695,0.2020442847313731,0.003891141571743966,4.623105987815588e-05,13.957427266332205,0.07277859043672638,0.014786665724450134,47450320040.650055,0.08962114644180652,8.85167483538315e+20,6.598167270642768,113147493610.2423,1.0041743066182371e+20,1.3104436130455683,503.4223424961943,0.23216619444373218
X,0.9817655128163513,3.8355935804138643,0.11332817713811162,0.15856367847770783,0.3155108057502649,0.20180078659494868,0.004035027165234002,5.037484295760525e-05,14.54946145082397,0.07476399886100228,0.01451089880525003,44986644369.11396,0.0931459930738952,8.684619841540232e+20,6.300830379346765,108888242488.41478,1.0096311624065738e+20,1.29276940749045,462.44524467301665,0.22950045687500256
