,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,180.89249292570375,692.9423209811772,42.378308333613056,49.86622937698218,93.02179612600098,99.12626003063336,0.00025467019566019174,5.4785587495781886e-05,7303.851177347267,35.18018117526837,4.060877309124795,7900106051934.254,27.936064392353412,3.173586277174465e+23,1272.829048354128,24340028514938.477,1.907212480620812e+22,208.4227004068576,12423.079719566495,21.103740812838588
C,306.6651912236721,1094.1006442156204,43.41493602400611,51.5493543548012,93.31193368364997,100.62239569089009,0.021540639943928512,0.0002807345694721634,8301.527678145838,36.36561699311074,4.305374186548481,12505940252347.85,30.001051126279116,5.37597485661036e+23,2101.8920857933526,38981354447846.016,2.829536850447072e+22,255.2006130098582,35356.008453843235,20.75565682453363
M,339.84040758284686,1166.2393766158336,43.58652774054426,51.73414278331835,93.0491645933917,100.6974852975245,0.022296247013264395,7.523635035770656e-05,8570.227291030624,36.57235089065454,4.350371454547068,13586350880141.182,30.395149337275225,5.919884377991718e+23,2282.120331291437,41797711524407.7,3.0270856032828973e+22,258.50092355871686,42541.60856393596,20.383059722071167
X,344.68783170664386,1175.075207573488,43.607833416209544,51.72758961189235,92.98387203509195,100.67639420852771,0.02266848722303284,7.092211783700995e-05,8602.105621059121,36.600685371925266,4.3545039133393875,13736123122608.08,30.45024287617249,5.990975638081598e+23,2301.1353235770093,42097158986271.875,3.048591553566367e+22,258.42059509400286,43572.24026055098,20.31569195914978
