,precision,recall,f1-score,support
ABC,0.7882882882882883,0.40276179516685845,0.5331302361005332,869.0
MX,0.21124620060790272,0.5965665236051502,0.31200897867564537,233.0
accuracy,0.4437386569872958,0.4437386569872958,0.4437386569872958,0.4437386569872958
macro avg,0.4997672444480955,0.4996641593860043,0.4225696073880893,1102.0
weighted avg,0.6662821118549581,0.4437386569872958,0.4863777379335651,1102.0

TSS,-0.00046551110380887994
HSS1,0.5765765765765766
HSS2,2.5747887306516866
GS,-0.5594799240929673
ORSS,-97572
SEDI,-0.0007792363609619449
