,xray_class,T_REC,NOAA_AR,USFLUX,MEANGAM,MEANGBT,MEANJZD,MEANJZH,ABSNJZH,R_VALUE
0,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
1,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
2,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
3,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
4,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
5,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
6,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
7,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
8,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
9,M,2010-05-05 17:00:00,11069,1.1e+22,41.2,93.1,-0.0758,-0.0205,337.0,4.11
10,M,2010-06-12 00:24:00,11081,8.42e+21,43.0,129.0,-0.534,0.0159,199.0,4.15
11,M,2010-06-13 05:24:00,11079,5.21e+21,37.1,81.9,-0.122,-0.00294,19.9,3.27
12,M,2010-08-07 17:48:00,11093,1.26e+22,42.1,96.4,-0.0238,-0.00725,156.0,3.7
13,M,2010-10-16 19:12:00,11112,1.47e+22,35.1,119.0,0.25,0.0033,80.8,4.04
14,M,2010-11-04 23:36:00,11121,1.57e+22,29.5,68.6,0.114,0.00395,81.9,4.68
15,M,2010-11-05 12:48:00,11121,2.13e+22,27.9,70.5,0.135,-0.00265,79.8,3.93
16,M,2010-11-06 15:24:00,11121,2.9e+22,28.2,92.9,0.0847,0.00405,177.0,3.73
17,M,2011-01-27 14:00:00,11149,4.37e+21,48.9,58.2,-0.914,0.00538,33.3,4.12
18,M,2011-02-09 01:24:00,11153,2.31e+22,38.9,72.5,-0.0191,-0.00478,137.0,4.39
19,M,2011-02-13 17:24:00,11158,1.88e+22,60.3,104.0,0.0136,0.0238,736.0,4.8
20,M,2011-02-14 17:24:00,11158,2.52e+22,60.3,95.7,0.088,0.0139,552.0,4.88
21,M,2011-02-16 01:36:00,11161,1.71e+22,42.9,104.0,-0.199,-0.0134,318.0,4.48
22,M,2011-02-16 07:36:00,11158,2.81e+22,55.7,92.8,0.176,0.0207,926.0,4.9
23,M,2011-02-16 14:24:00,11162,1.5e+22,46.7,104.0,-0.0686,-0.0088,191.0,4.44
24,M,2011-02-18 10:00:00,11158,3.69e+22,44.0,92.3,-0.0395,0.0102,507.0,4.78
25,M,2011-02-18 10:24:00,11161,1.78e+22,53.0,117.0,-0.00357,-0.00346,102.0,4.59
26,M,2011-02-18 13:00:00,11161,1.87e+22,53.7,113.0,-0.00883,-0.00917,295.0,4.66
27,M,2011-02-18 14:00:00,11162,1.9e+22,53.1,115.0,-0.0245,-0.00998,321.0,4.69
28,M,2011-02-18 21:00:00,11158,3.86e+22,40.6,90.4,-0.0513,0.0185,937.0,4.71
29,M,2011-02-24 07:24:00,11163,7.34e+20,44.4,42.5,-0.496,-0.00851,11.1,4.28
30,M,2011-02-28 12:36:00,11164,2.85e+22,36.6,88.9,-0.135,0.013,549.0,4.46
31,M,2011-03-07 05:00:00,11165,5e+22,39.9,82.6,-0.125,0.00942,618.0,4.7
32,M,2011-03-07 07:48:00,11164,6.55e+22,39.0,85.0,-0.017,0.00362,326.0,4.93
33,M,2011-03-07 08:00:00,11164,6.53e+22,39.3,85.4,-0.0172,0.00268,241.0,4.97
34,M,2011-03-07 09:12:00,11165,5.12e+22,40.0,79.5,-0.156,0.00698,454.0,4.7
35,M,2011-03-07 13:48:00,11166,2.3e+22,56.9,94.7,0.424,1.57e-06,0.0591,4.45
36,M,2011-03-07 19:48:00,11165,5.03e+22,41.6,72.1,-0.0353,0.0148,911.0,4.71
37,M,2011-03-07 21:48:00,11166,2.68e+22,58.1,95.6,0.211,-0.00354,159.0,4.63
38,M,2011-03-08 02:24:00,11165,3.8e+22,41.6,62.9,-0.175,0.0128,635.0,4.4
39,M,2011-03-08 03:36:00,11166,2.91e+22,58.1,102.0,0.327,-0.00022,9.84,4.75
40,M,2011-03-08 10:36:00,11166,2.92e+22,59.6,91.6,0.291,0.00196,101.0,4.87
41,M,2011-03-08 18:12:00,11166,2.96e+22,59.3,98.6,0.3,0.000821,38.7,4.91
42,M,2011-03-08 19:48:00,11166,3.07e+22,58.9,95.9,0.264,-0.000238,12.2,4.92
43,M,2011-03-09 10:36:00,11166,3.02e+22,59.0,91.3,0.26,-0.00219,108.0,4.78
44,M,2011-03-09 13:12:00,11166,3.13e+22,58.2,92.4,0.308,-9.55e-06,0.485,4.82
45,M,2011-03-10 22:36:00,11166,3.75e+22,54.3,97.6,0.197,0.00266,150.0,4.88
46,M,2011-03-12 04:36:00,11169,1.67e+22,47.6,116.0,0.108,-0.0266,664.0,4.33
47,M,2011-03-14 19:24:00,11169,2.77e+22,39.9,95.9,0.00239,-0.0182,714.0,4.67
48,M,2011-03-15 00:12:00,11169,2.93e+22,38.6,89.0,0.0242,-0.0134,557.0,4.49
49,M,2011-03-23 02:00:00,11176,3.92e+22,42.4,66.9,0.108,0.00444,250.0,4.49
50,M,2011-03-24 12:00:00,11176,4.51e+22,39.1,83.1,0.033,0.00558,386.0,4.49
51,M,2011-03-25 23:00:00,11176,5.02e+22,41.2,106.0,0.129,0.0062,486.0,4.53
52,M,2011-04-15 16:48:00,11190,3.11e+22,44.6,118.0,0.108,-0.00915,417.0,4.82
53,M,2011-04-22 04:36:00,11195,5.35e+22,36.9,99.0,0.0807,0.00873,710.0,4.78
54,M,2011-04-22 15:48:00,11195,5.19e+22,40.0,98.6,0.165,0.00823,692.0,4.83
55,M,2011-05-28 21:12:00,11227,3.4e+22,44.4,76.8,-0.0141,0.0107,479.0,4.79
56,M,2011-05-29 10:12:00,11227,3.82e+22,45.8,78.9,-0.02,0.0153,796.0,4.72
57,M,2011-06-07 06:00:00,11226,2.53e+22,28.6,97.4,-0.0883,0.00719,287.0,3.78
58,M,2011-06-14 21:24:00,11236,4.75e+22,39.0,58.5,-0.095,0.0073,488.0,4.48
59,M,2011-07-27 15:36:00,11260,1.36e+22,45.5,114.0,0.117,-0.000256,5.51,4.4
60,M,2011-07-30 02:00:00,11263,2.92e+22,47.6,69.6,0.00417,0.00131,50.1,4.23
61,M,2011-08-02 05:24:00,11263,2.86e+22,60.5,84.9,0.0519,0.0183,742.0,4.81
62,M,2011-08-03 03:12:00,11261,2.24e+22,52.1,109.0,0.19,0.0329,1150.0,4.75
63,M,2011-08-03 04:24:00,11261,2.26e+22,51.6,109.0,0.115,0.0344,1230.0,4.74
64,M,2011-08-03 13:12:00,11261,2.28e+22,49.0,108.0,0.0724,0.0322,1230.0,4.84
65,M,2011-08-04 03:24:00,11261,2.41e+22,46.1,115.0,-0.221,0.0215,807.0,4.7
66,M,2011-08-08 18:00:00,11263,3.76e+22,43.3,73.8,0.02,0.0181,948.0,4.56
67,M,2011-08-09 03:24:00,11263,3.88e+22,43.4,70.7,0.0566,0.0171,947.0,4.5
68,M,2011-09-04 11:24:00,11286,1.95e+22,32.0,90.7,-0.123,-0.00221,68.7,3.87
69,M,2011-09-05 04:12:00,11283,2.03e+22,51.5,111.0,0.414,-4.38e-05,1.6,4.33
70,M,2011-09-05 07:24:00,11283,1.86e+22,52.8,113.0,0.401,0.000137,4.48,4.48
71,M,2011-09-06 01:36:00,11283,1.65e+22,55.0,110.0,0.318,0.00632,181.0,4.49
72,M,2011-09-08 15:36:00,11283,2.04e+22,42.2,107.0,0.177,0.00601,206.0,4.51
73,M,2011-09-09 06:00:00,11283,2.78e+22,37.6,101.0,0.0741,0.007,296.0,4.65
74,M,2011-09-09 12:36:00,11283,2.91e+22,36.8,94.7,-0.0208,0.00526,239.0,4.43
75,M,2011-09-10 07:12:00,11283,3.24e+22,33.2,78.6,0.0402,0.00483,243.0,4.27
76,M,2011-09-21 12:00:00,11295,4.32e+22,41.7,105.0,0.152,0.00345,255.0,4.45
77,M,2011-09-22 09:48:00,11295,5.4e+22,36.4,99.8,-0.0245,0.00365,295.0,4.68
78,M,2011-09-23 01:48:00,11295,6.36e+22,35.3,83.5,0.000324,0.00403,385.0,4.59
79,M,2011-09-23 22:00:00,11302,6.2e+22,47.8,76.4,0.089,-0.00763,606.0,4.92
80,M,2011-09-23 23:48:00,11295,6.93e+22,37.9,67.0,-0.0163,0.000912,87.9,4.48
81,M,2011-09-24 12:36:00,11302,5.51e+22,50.2,77.3,0.0708,-0.00548,412.0,4.83
82,M,2011-09-24 16:36:00,11303,7.24e+21,43.1,96.1,-0.181,-0.00673,72.5,3.64
83,M,2011-09-24 17:24:00,11302,5.6e+22,51.1,78.6,0.15,-0.00145,110.0,5.0
84,M,2011-09-24 18:00:00,11303,8.54e+21,42.9,90.4,-0.375,-0.00981,121.0,3.78
85,M,2011-09-24 19:12:00,11303,9.19e+21,46.3,83.0,-0.408,-0.015,212.0,3.86
86,M,2011-09-24 20:24:00,11302,5.46e+22,50.9,82.9,0.0559,-0.00302,209.0,5.05
87,M,2011-09-24 21:24:00,11303,1.05e+22,46.6,80.6,-0.189,-0.0183,285.0,4.1
88,M,2011-09-24 23:48:00,11302,5.75e+22,50.6,82.9,0.156,-0.00861,654.0,5.07
89,M,2011-09-25 02:24:00,11303,1.44e+22,46.1,71.8,-0.155,-0.0156,333.0,4.18
90,M,2011-09-25 04:36:00,11302,5.28e+22,51.5,85.6,0.297,-0.00804,535.0,5.14
91,M,2011-09-25 08:48:00,11303,1.53e+22,45.7,79.9,0.19,-0.00681,141.0,4.14
92,M,2011-09-25 09:24:00,11303,1.47e+22,47.5,79.1,0.122,-0.00667,146.0,4.21
93,M,2011-09-25 15:24:00,11303,1.68e+22,45.2,72.5,-0.0119,-0.0108,247.0,4.24
94,M,2011-09-25 16:48:00,11302,4.84e+22,53.9,84.7,0.171,-0.00693,460.0,5.19
95,M,2011-09-26 05:00:00,11302,4.61e+22,55.2,89.1,0.2,-0.0055,337.0,5.18
96,M,2011-09-26 14:36:00,11302,4.19e+22,58.0,84.0,0.217,-0.00304,182.0,5.09
97,M,2011-09-28 17:36:00,11305,8.31e+21,46.6,100.0,0.213,-0.00285,38.3,3.94
98,M,2011-09-30 19:00:00,11305,9.15e+21,61.9,99.4,0.62,-0.0307,477.0,4.14
99,M,2011-10-01 09:00:00,11305,1.21e+22,63.1,81.4,0.378,-0.0139,468.0,4.25
100,M,2011-10-02 00:36:00,11302,3.93e+22,47.4,89.8,0.214,-0.011,649.0,4.14
101,M,2011-10-02 17:12:00,11302,3.96e+22,42.7,90.3,0.0793,-0.0106,580.0,4.45
102,M,2011-10-20 03:12:00,11319,6.87e+22,36.3,92.1,0.00541,-0.00163,161.0,4.41
103,M,2011-10-21 12:48:00,11314,6.19e+22,37.3,63.7,0.0011,-0.00167,155.0,4.53
104,M,2011-10-22 09:48:00,11314,2.11e+22,33.0,58.7,-0.102,-0.000419,13.7,4.68
105,M,2011-11-01 02:48:00,11339,0.0,0.0,0.0,0.0,0.0,0.0,4.71
106,M,2011-11-01 02:48:00,11339,0.0,0.0,0.0,0.0,0.0,0.0,4.71
107,M,2011-11-02 21:48:00,11339,8.56e+22,45.7,62.5,-0.0278,0.000731,80.0,4.83
108,M,2011-11-03 11:00:00,11339,8.33e+22,46.0,64.1,0.0104,0.000264,29.6,4.86
109,M,2011-11-03 23:24:00,11339,8.6e+22,45.3,73.3,0.0336,-0.000257,29.3,4.93
110,M,2011-11-04 20:36:00,11339,8.04e+22,45.8,85.0,0.0189,-0.00122,131.0,5.12
111,M,2011-11-05 03:12:00,11339,7.74e+22,46.7,87.0,0.047,-0.00151,158.0,5.13
112,M,2011-11-05 11:12:00,11339,7.01e+22,48.2,85.6,0.0189,-0.00107,107.0,5.1
113,M,2011-11-05 20:36:00,11339,7.24e+22,48.5,91.3,0.147,-0.00199,205.0,5.16
114,M,2011-11-06 00:48:00,11339,7.22e+22,48.8,90.3,0.161,-0.00408,439.0,5.12
115,M,2011-11-06 06:00:00,11339,6.58e+22,50.2,91.2,0.119,-0.00375,368.0,5.08
116,M,2011-11-09 12:48:00,11342,2.8e+22,41.9,104.0,0.252,0.000355,15.8,4.01
117,M,2011-11-15 09:00:00,11348,2.42e+22,37.8,85.8,0.162,-0.0116,380.0,4.93
