,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
B,2.131627643583122,2.8641177364238475,-0.6946085688343541,-0.16389504333647612,0.5853412946456071,0.1931550954949747,-3.55154239361412,-8.338570373017228,4.320573422691718,-1.231410223914838,-2.476511012121686,27.111751555613548,-0.8780710145728081,49.78035879426983,3.8006239886423843,27.47116212690641,47.81962186198934,2.02092870142123,7.649108803601686,0.327415656943604
C,1.7676999019989872,3.423330235074069,-1.3540421371938085,-0.48456983243954693,0.5596842203041501,0.04733288971214391,-3.742545989839521,-8.414581658329112,4.256236075394005,-1.6233271496450477,-2.5609231124540517,26.463206781005706,-1.3251655847983566,50.55024685363112,4.118746484353727,27.781088124218606,48.34572162051629,1.886757975797555,7.435887260132175,0.20587118981313116
M,1.731523595563855,2.9309179687193465,-1.1639557501694073,-0.36535077488015316,0.5794223703523355,0.02992348764462108,-3.7939438979594087,-8.481933594652435,4.166156531610603,-1.5634400235318977,-2.6765540131296652,26.41372283574083,-1.2934111563969124,49.97567815993212,3.7388791824638385,27.277471069849007,47.83658302449816,2.0500697266116825,7.461364737476611,0.172670144264757
X,1.6849563210146363,2.7933325726942018,-1.1221049727130423,-0.34947881379597684,0.5825105593613844,0.04094735437610568,-3.7863101359599756,-8.542498850469409,4.188955040091431,-1.4961007665350001,-2.6955113640704385,26.371279063885677,-1.2157801742802257,49.76139488073812,3.690454270851939,27.217174241649076,47.78706757663724,2.044314424405104,7.385794113362176,0.162027854568395
